Stock,Comment,Commented By,Timestamp
Alkyl Amines,"the  bond  market  is  more  stable  than  the  stock  market,  with  bonds  being  less  affected  by  market  fluctuations  keeping  your  capital  protected  and  less  impacted  by  the  market  fluctuations.  explore  bonds  for  some  stability-https://bit.ly/4codpxd",The Fixed Income,2025-04-07 20:26:00
Alkyl Amines,book  your  profit  now  will  be  down  more  than  5  percent,v05,2025-04-04 11:26:00
Alkyl Amines,after  1  pm  huge  profit  booking  started  be  cautious,stockfact,2025-04-04 11:06:00
Alkyl Amines,target  2100  short  term  buy  fast  buy  fast,stockfact,2025-04-04 09:36:00
Alkyl Amines,what  did  i  tell  you  sir  ...i  knew  i  would  rise  around  4  percent  but  it  happened  today  after  3  days,garry40,2025-04-01 15:29:00
Alkyl Amines,"upper  circuit  ,  chances  are  high",billyjean,2025-04-01 09:26:00
Alkyl Amines,"i  have  added  50  bucks  around  1830  today,  definitely  its  worth  at  this  rate.",sbasate,2025-03-28 13:43:00
Alkyl Amines,"All  chemical  stock  have  become  garbage,  no  demand  in  Europe  and  China  is  dumping  and  dumping  in  India.  Why  Govt  is  not  taking  any  measures  to  protect  domestic  industries.",sbasate,2025-03-27 20:08:00
Alkyl Amines,"OK  BYE  BYE  TATA  SAB  KHATAM.  LOSS  BOOK  KARO,  TAX  HARVESTING  KARO  .  HEADING  TOWARDS  1500.",JBPd,2025-03-27 19:40:00
Alkyl Amines,Bro  my  average  value  is  2584  and  I  am  averaging  it  since  3400  value  so  optimistic  about  rise  but  it  is  going  down  and  down  and  my  total  loss  is  1.5  lakh,Rahulbg1326,2025-03-27 18:00:00
Alkyl Amines,"anything  wrong  with  this  company,  suddenly  changes  in   one  know  correct  advice  for  medium  term  investment  target  and   average  cost  is  2150/-loss  book  karna  hai  kya?ya  good  time  comes.",ashokjain1313,2025-03-27 16:06:00
Alkyl Amines,tomorrow  you  will  see  4  percent  jump  in  this  stock,garry40,2025-03-27 15:30:00
Alkyl Amines,promoters  of  this  company  should  do  something  about  this  otherwise  current  situation  not  good,utpatang,2025-03-27 13:24:00
Alkyl Amines,alkyl  amines  strong  sell  signal  golden  key  1890  to  1930  within  small  quantity  initiate  slowly  position  strong  sl  clossing  basis  1950  sustain  target  1st  time  1820  n  next  level  wait,chiranjan,2025-03-26 16:20:00
Alkyl Amines,4700  ka  stock  price  1900  so  there  is  possibility  to  go  around  3000  in  one  year  so  hold  it  great  return  ahed,stockfact,2025-03-26 14:05:00
Alkyl Amines,"India  Pesticides,  Alkyl  Amines  shares  drop  up  to  4prcnt  amid  govts  anti-dumping  measures.

So  far  this  year,  shares  of  India  Pesticides,  Insecticides  India,  and  Alkyl  Amines  have  declined  by  as  much  as  20  percent.

The  government  imposes  an  anti-dumping  duty  on  on  various  products.

India  Pesticides,  Alkyl  Amines  shares  drop  up  to  4prcnt  amid  govts  anti-dumping  measures.

So  far  this  year,  shares  of  India  Pesticides,  Insecticides  India,  and  Alkyl  Amines  have  declined  by  as  much  as  20  percent.

The  government  imposes  an  anti-dumping  duty  on  on  various  products.",kamal20,2025-03-25 17:38:00
Alkyl Amines,DGTR  recommends  anti-dumping  duty  on  imports  of  Acetonitrile,kamal20,2025-03-25 16:55:00
Alkyl Amines,Monday  gap  up  opening,pihu6691,2025-03-22 15:09:00
Alkyl Amines,"Alkyl  amines  will  be  next  multibeggar  buy  for  long  term,  do  SIP  ro  Lumpsum,  this  company  has  a  huge  potential  to  give  multibeggar  return",pras91,2025-03-21 11:08:00
Alkyl Amines,when  it  will  stop  downside   is  giving  worst  returns  in  this  rally  of  share  market,Rahulbg1326,2025-03-20 15:41:00
Alkyl Amines,target  2250!  in  April  month  buy  fast,stockfact,2025-03-20 09:30:00
Alkyl Amines,buy  credo  brand  for  huge  upside  potential  target  300  soon,stockfact,2025-03-15 13:44:00
Alkyl Amines,in  every  tow  three  months  each  sector  is  getting  hammered  by  Big  manipulators  and  operators  in  market  it  very  risky  now  a  days  to  stay  in  market  for  retail  investors  since  all  hard  fought  money  is  gone  in  no  time  and  then  the  investors  will  never  return  in  share  market...government  should  keep  eye  on  fake  news  such  as  now  in  this  month  some  trending  news  on  small  cap  and  mid  cap  bubble  are  abruptly  came  and  all  money  goes  to  those  operators  who  plays  this  game  purposefully............Alkyl  amines  and  balaji  Amines  are  getting  hammered  since  last  one  year  also  suffered  in  last  couple  of  session  due  to  this,Rahulbg1326,2025-03-13 13:27:00
Alkyl Amines,Buy  today  or  not  fallen  below  2100,SRS_2019,2025-03-12 14:38:00
Alkyl Amines,"Just  keep  an  eye  on  results  and  take  decisions  based  on  long  term  performance.  Currently,  all  Chemical  Shares  are  going  thru  a  rough  patch.",Learner203,2025-03-09 15:28:00
Alkyl Amines,if  so  why  is  the  promoter   knows  his  company  valuation,AKR_Panja,2025-03-06 21:41:00
Alkyl Amines,Mera  call  hamesha  follow  karna.  Jo  og  follow  karta  hai  woh  log  faide  mein  rahete  hai,Pint007,2025-03-05 13:23:00
Alkyl Amines,this  share  is  still.commanding  such  a  high  price.    highly  overpriced  share.,deepakkumar3462,2025-03-04 05:04:00
Alkyl Amines,kindly  buy  target  2600-2800  in  short  term,ankit010,2025-03-01 13:38:00
Alkyl Amines,"From  here  on  Alykyl  amines  will  rise  ,  go  up  and  minimum  30%-40%  gain  in  next  3-4  weeks.  Buy  heavily  Alkyl  Amines",Pint007,2025-03-01 13:34:00
Alkyl Amines,what  is  the  alternative  to,survetv,2025-02-14 09:49:00
Alkyl Amines,alkyl  amines  looking  good  at   can  add  here,praks80,2025-02-10 23:12:00
Alkyl Amines,buy  at  2120-2140  for  target  2600-2650  in  a  short   for  down,ankit010,2025-02-10 14:23:00
Alkyl Amines,Is  this  the  real  Alkyl  amines,Rahulbg1326,2025-02-07 22:30:00
Alkyl Amines,eps  improve  from  qoq  ????  chemical  stocks  fly  from  here  ????,sanjubly,2025-02-02 16:11:00
Alkyl Amines,Buy  for  1  week  2  Feb  result  is   High  is  coming  soon,abhijeetwani5,2025-01-31 09:49:00
Alkyl Amines,"Basrard  moneycontrol,  pta  ni  kaha  se  target  deta  hai,  dear  all  plz  avoid  moneycontrol,  this  will  rob  your  money",Aonu1,2025-01-25 12:15:00
Alkyl Amines,"results  are  not  at  all  bad,  if  you  compare  YoY  .  most  of  the  chemical  sector  stocks  are  not  at  all  doing  well,  in  that  it  beats  YoY  which  is  an  achievement...  market  may  expect  QoQ  beat  also  because  present  situation  is  not  at  all  good  it  is  expecting  distinction  from  failing  students  too...",AKR_Panja,2025-01-25 07:24:00
Alkyl Amines,even  after  good  results  last  likely  pe  will  be   one  imagine  it  was    selling  at  pe  of  200  two  years  back.  fools  like  me  bought  at  those  levels,smam51,2025-01-24 22:10:00
Alkyl Amines,woh  2-3  sal  tak  intezar  karo..  yeh  level  ane  me  jyada  time  lega,umeshpintu,2025-01-24 20:52:00
Alkyl Amines,but  umeshpintu  who  bought  alkyl  amines  at  2500  or  at  even  3000  what  should  they  get  from  this  upside  movement,Rahulbg1326,2025-01-24 13:54:00
