Stock,Comment,Commented By,Timestamp
Atul Ltd,"the  bond  market  is  more  stable  than  the  stock  market,  with  bonds  being  less  affected  by  market  fluctuations  keeping  your  capital  protected  and  less  impacted  by  the  market  fluctuations.  explore  bonds  for  some  stability-https://bit.ly/4codpxd",The Fixed Income,2025-04-07 20:39:00
Atul Ltd,Can  see  6200  lvls  very  quickly.,vanillaice969,2025-04-04 19:20:00
Atul Ltd,if  if  if  Zomato  take  over  to  Atul  then  confirmed  crossed  8000  ?????  others  wise  not  capacity  cross  before  the  results  or  not  capacity  flying  flying  flying  flying  before  the  results???,gj003,2025-04-04 09:26:00
Atul Ltd,Kaya  bola  tha  kings  of  kings  chemical  kings  of  kings  only  buyer  circuit  only  buyer  circuit  only  buyers  circuit  circuit  once  again  souting  opened  challenge  9500  to  10000  cross  crossed  cross  crossed  before  the  results  maybe  crossed  12000,gj003,2025-04-04 09:12:00
Atul Ltd,pharma  kings  of  kings  Atul  agro  chemicals  kings  of  kings  Atul  colours  making  kings  of  kings  Atul  life  sciences  chemical  kings  of  kings  Atul  why  why  why  why  only  buyer  circuit  only  buyer  circuit  before  the  results  10000  to  12000  biggest  deals  biggest  export  orders  biggest  news  coming  New  history  before  the  results  dont  underestimate  to  capacity  of  promotors  also  stocks,gj003,2025-04-04 06:50:00
Atul Ltd,this  q  it  can  post  loss  and  so  market  is  taking  it  down  china  dumping  cheap  product  s  will  continue  more  with  trump  tariff  plans  atul  can  lan  up  at  4000  in  comic  days  it  can  be  a  small  cap  sooner,drsandip74,2025-04-01 14:40:00
Atul Ltd,once  cross  6400  to  6500  then  see  whats  happened  new  history  before  the  results  dont  underestimate  to  capacity  of  chemical  kings  of  kings  atul  hold  hold  hold  hold  hold  closing  above  6200  so  keep  hold  hold  hold  tightly  indian  rafel  indian  rafel  flying  flying  flying  flying  flying  flying  flying  atul  atul  atul  once  again  going  make  a  new  history  before  the  results  now  see  whats  happened,gj003,2025-04-01 13:06:00
Atul Ltd,hold  hold  hold  hold  hold  hold  hold  hold  dont  underestimate  to  capacity  of  chemical  kings  of  kings  atul  once  cross  6500  then  see  whats  happened  blast  flying  indian  rafel  style  flying  flying  flying  flying  flying  flying  8600  to  9000  before  the  results  ??????  now  see  whats  happened,gj003,2025-04-01 12:42:00
Atul Ltd,only  only  only  zomato  will  take  over  to  atul  then  confirmed  crossed  6500  ??????  others  wise  not  capacity  no  no  once  again  souting  opened  challenge  chemical  kings  of  kings  called  to  atul  once  again  going  make  a  new  history  before  the  results  so  keep  hold  hold  hold  hold  hold  hold  hold  8000  to  9000  cross  crossed  cross  crossed  cross  crossed  cross  crossed  so  dont  underestimate  to  capacity  of  atul  now  see  whats  happened  closing  above  6200  then  confirmed  crossed  8500  to  9000,gj003,2025-04-01 12:31:00
Atul Ltd,closing  above  6200  then  confirmed  crossed  7500  to  8000  before  the  results  new  history  biggest  deals  biggest  export  orders  biggest  deals  biggest  groups  now  see  whats  happened  flying  flying  flying  flying  flying  flying  maybe  crossed  10000  to  12000,gj003,2025-04-01 12:14:00
Atul Ltd,hello  hello  hello  see  see  aarti  ind  flying  flying  flying  flying  see  rec  i  was  told  flying  flying  flying  flying  flying  now  once  again  souting  opened  challenge  atul  6200  closing  above  so  keep  hold  hold  hold  hold  hold  before  the  results  maybe  crossed  7500  to  8000  dont  underestimate  to  capacity  of  chemical  kings  of  kings  atul  once  again  going  make  a  new  history  10000  to  12000  keep  hold  hold  hold  hold  hold  hold,gj003,2025-04-01 12:11:00
Atul Ltd,if  if  if  Zomato  take  over  to  Atul  then  confirmed  crossed  7000  ?????  others  wise  not  capacity  cross  now  see  whats  happened  closing  in  only  buyers  circuit  only  buyer  circuit  only  buyer  circuit  ???????  now  see  whats  capacity  of  kings  of  kings  Atul,gj003,2025-04-01 11:29:00
Atul Ltd,only  only  buyer  circuit  only  buyer  circuit  only  buyer  circuit  only  buyer  circuit  before  the  biggest  news  once  again  going  make  a  new  history  10000  to  12000  flying  flying  flying  flying  flying  flying  flying  flying  flying  flying  before  the  results  maybe  crossed  10000  dont  sell  any  single  stock  opened  challenge,gj003,2025-04-01 11:18:00
Atul Ltd,my  god  see  see  see  see  kings  of  kings  flying  flying  flying  flying  flying  flying  flying  8000  to  10000  once  again  going  make  a  new  history  before  the  results  dont  underestimate  to  capacity  of  Kings  and  Mr  Atul  see  see  only  buyer  circuit  only  buyer  circuit  only  buyer  circuit  only  buyer  circuit  in  history  why  why  why  why  why  why  now  confirmed  crossed  10000  to  12000,gj003,2025-04-01 10:54:00
Atul Ltd,"Corteva  Agriscience  has  launched  a  dumping  and  countervailing  duty  case  against  producers  and  importers  of  2,4-D  from  China  and  India  on  March  14.  This  case  covers  all  2,4-D  sourced  from  one  of  these  countries,  even  if  processed  in  third  countries.  Atul  is  biggest  exporter  of  24D  to  US.",Murao64,2025-03-26 19:32:00
Atul Ltd,Ye  share  abhi  aur  bahut  neeche  jayenge........,bkch,2025-03-25 21:42:00
Atul Ltd,"Its  seems  that  company  is  very  very  worst  position  ,  ever  before  .",utij958,2025-03-20 10:03:00
Atul Ltd,"Chemicals  company  Atul  
ATUL
  will  launch  Sindica,  a  post-emergence  herbicide  against  weeds  on  sugarcane  crop,  according  to  a  BSE  filing  on  Wednesday.

Chemicals  company  Atul  
ATUL
  will  launch  Sindica,  a  post-emergence  herbicide  against  weeds  on  sugarcane  crop,  according  to  a  BSE  filing  on  Wednesday.
The  company  plans  to  use  the  existing  production  capacity  for  manufacturing  Sindica,  the  filing  said.Chemicals  company  Atul  

Atul    will  launch  Sindica,  a  post-emergence  herbicide  against  weeds  on  sugarcane  crop,  according  to  a  BSE  filing  on  Wednesday.",vanillaice969,2025-03-15 10:38:00
Atul Ltd,reversal  from   this.  hammer  onndaily  chart,sdmm,2025-03-12 15:07:00
Atul Ltd,"Very  poor  ROE  and  ROCE  washes  all  other  good  ratios.
All  is  good  but  some  how  not  working  for  the  company.",harshypatel,2025-03-07 21:39:00
Atul Ltd,"speciality  chemicals  stock  alkyl  amines,  balaji  amines  ,  gujarat  fluoro  showing  strong  up  move  today.  atul  is  ready  to  give  big  jump  any  day  to  6700.  buy  for  quick  gain.  co  has  started  new  capacity  also.  have  monopoly  products.  buyback  announced  at  75000",Rocky62,2025-03-05 15:05:00
Atul Ltd,"Atul  has  more  than  100  products  in  speciality  chemicals  products.  Post  January  -24,  china  destocking  is  over  and  atul  will  be  major  beneficiary.  Safest  buy",Rocky62,2025-03-05 11:07:00
Atul Ltd,any  suggestions  for  this  stock,bekar_share,2025-02-28 10:51:00
Atul Ltd,Investment  opportunity  at  3000  to  4000  levels  till  that  time  plz  wait..,Tamilsai,2025-02-27 11:24:00
Atul Ltd,Not  good  results  compared  to  earlier  quarters.  Selling  it  n0w  after  holding  it  for  20  years.  Fed  up,sd1234,2025-02-18 22:42:00
Atul Ltd,Why  is  this  stock  going  down  despite  good  results,aagar07,2025-02-14 23:13:00
Atul Ltd,"further  to  letter  dated  October  04,  2022  wherein  we  informed  about  acquisition  of  50prcnt  equity  shares  of  Valsad  Institute  of  Medical  Sciences  Ltd  VIMS  by  Atul  Healthcare  Ltd,  whollyowned  subsidiary  of  the  Company.  188-bed  multi-super  specialty  hospital  set  up  by  VIMS  commenced  its  operations  at  Valsad,  Gujarat.",kamal20,2025-02-14 09:01:00
Atul Ltd,"bullshit  recommendations  by  Abhishek,  he  was  given  today  6000pe  at  110.  but  now,  it  is  50  only....  dont  take  any  recommendations  by  him",kodimala1971,2025-02-09 13:28:00
Atul Ltd,"Atul  likely  has  completed  the  expansion  in  capacity  of  dichlorodiphenyl  sulfone  at  its  site  in  Gujarat.  The  company  invested  ₹995  million  to  add  4,800  ton  per  year  to  its  existing  capacity",JP_Morgan,2025-02-05 12:45:00
Atul Ltd,the  Company  has  completed  4800  tpa  increase  in  capacity  of  DCDPS  situated  at  Atul  site.,kamal20,2025-02-05 11:09:00
Atul Ltd,double  bottom  around  6123  levels  .might  get  to  6720,tradewise_555,2025-02-04 10:46:00
Atul Ltd,"But  Atul  for  target  of  7250  in  a  month  or  two...  Dont  go  on  results  or  any  thing  else  this  is  fundamentally  good  company,  all  chemical  stocks  have  fell  actually..  for  example  alkylamine  a  big  and  good  company  but  negative  returns  for  the  year  ...  All  sectors  have  performed..  now  it  will  be  turn  of  Chemical  stocks  ..  mark  my  words...",Ankush_10,2025-02-01 02:16:00
Atul Ltd,Atul  will  trade  around  6000  in  next  two  days  as  per  charts,Bullsballs2310,2025-01-30 18:22:00
Atul Ltd,"Atul  LimitedActive  names  and  traded  stake:  NK  Securities  Research  (  442  shares),  HRTI  Private  Limited  (  587  shares)  Stock  movement  and  volumes:  Gained  4.06  percent  to  Rs  6424.25.  Trading  volumes  at  56,000  shares  versus  one-month  average  of  51,000shares  Technicals:  Stock  is  below  50-DMA  and  200-DMA  Fundamental  trigger,  if  any:  Company  reported  its  Q3FY24  results  on  January  19.  Net  profit  fell  32  percent  YoY.",kamal20,2025-01-25 07:55:00
