Stock,Comment,Commented By,Timestamp
Balaji Amines,"the  bond  market  is  more  stable  than  the  stock  market,  with  bonds  being  less  affected  by  market  fluctuations  keeping  your  capital  protected  and  less  impacted  by  the  market  fluctuations.  explore  bonds  for  some  stability-https://bit.ly/4codpxd",The Fixed Income,2025-04-07 20:22:00
Balaji Amines,balaji  amin  given  many  positive  news  but  share  price  was  always  in  negative.....,jainil_17,2025-04-05 06:50:00
Balaji Amines,"not  one,but  we  investors  want  at  least  2-3  sessions  like  todays  movement.",manjupant,2025-04-04 17:43:00
Balaji Amines,"The  company  has  commissioned  a  6  MW  AC  solar  power  plant,  which  will  be  operational  in  a  phased  manner  under  grid  connectivity.  The  power  from  the  6  MW  AC  solar  power  plant  will  be  utilized  for  captive  consumption.",kamal20,2025-04-04 09:07:00
Balaji Amines,Buy  At  Every  Dip..  Will  be  Bounce  Upto  2000    levels  any  time,sanv,2025-04-02 09:14:00
Balaji Amines,The  major  support  is  780  to  800.  till  then  dont  buy.  wait  for  a  huge  loss  then  avg  and  sell  at  loss  or  less  loss.  worst  management.    same  check  with  other  chemicals  not  like  this,veera80,2025-03-29 00:57:00
Balaji Amines,value  jab  0000000  ho  jayegi  tab  buying  aayegi,uxhxhhd,2025-03-28 21:16:00
Balaji Amines,those  who  r  selling  at  CMP..Pls  sell  at  least  Equties  will  be  at  stronger  hand..Stay  long  for  2000  Plus  levels,sanv,2025-03-27 20:55:00
Balaji Amines,why  not  falling   fall  make  our  investment  zero,ng_1990,2025-03-27 14:41:00
Balaji Amines,May  Try  For  Upper  Circuit  Today..Stay  long,sanv,2025-03-26 08:58:00
Balaji Amines,"balaji  di  methyl  ether  dmr  plant  will  be  commissioned  on  june  25,  govt  has  approved  20  percent    dme  mixed  with  lpg.  this  will  be  game  changer",go4shanky,2025-03-25 11:22:00
Balaji Amines,Fundamentally  this  stock  is  very  strong.  Heavy  capital  expenditure  is  done.  This  year  all  plants  will  be  commissioned  and  sales  turn  over  and  profitability  will  increase.  it  is  debt  free  company.  May  declare  bonus  by  Dec  25.  Should  touch  Rs.2200  by  Aug.  25.,macwan,2025-03-25 10:46:00
Balaji Amines,Phir  bhi  kuchh  nahi  badhega.  Ye  aisa  hi  rahega,anjurajesh,2025-03-24 20:21:00
Balaji Amines,"20  march  2025  there  was  a  transfer  of  shares  between  promoters  family  members  about  98000  shares  by  gifting  shares  ,  no  buying  from  market  by  any  member  of  promoters  as  of  yesterday  ,  many  companies  promoters  sold  last  year  around  1  lakh  crore  because  that  market  peak  ,  now  all  this  news  some  promoters  buying  is  mostly  few  thousand  shares  ,  they  wont  buy  until  trump  tariff  action  settles  down  ,  dont  buy  companies  depends  on  exports",LN_SREENIVAS,2025-03-24 16:55:00
Balaji Amines,today  it  will  close  above  1300  and  soon  it  will  cross  1600,Master_0806,2025-03-24 13:47:00
Balaji Amines,at  this  level  this  is  not  justify  where  it  has  will  go  to  1500  level  if  quarter  result  is  down,anj86,2025-03-23 15:28:00
Balaji Amines,The  chemical  industry  bottoms  out  it  should  go  up.,narsingdas2015,2025-03-22 09:45:00
Balaji Amines,"promoter  ne  kab  buy  kiyaa,  jara  batao  to  kahan  per  milegi    ye  information",uxhxhhd,2025-03-21 17:12:00
Balaji Amines,Expected  High  Open  Today  2040  to  2050  Increase  Upto,divyatrade,2025-03-21 07:51:00
Balaji Amines,"promoters  increasing  stake
....  time  to  buy",AskBbsr,2025-03-19 22:52:00
Balaji Amines,"bhaiyon  promoters  ki  Enquiry  honi  chahiye,  SEBI  m  complaint  karo",uxhxhhd,2025-03-17 22:08:00
Balaji Amines,"Bhai  ab  maine  aisa  lag  raha  hai  ki  promoter  hi  operator  h,  Jo  is  share  ko  gira  rahe  hain",uxhxhhd,2025-03-17 22:00:00
Balaji Amines,"operator  se  Dhirubhai  ambani  apne  investors  ko  hamesha  bachate  the,  isliye  hi  to  reliance  aaj  top  per  h,  or  dusri  tarf  Balaji  Amines  ke  promoter  chup  chap  baithe  h  jaise  wo  hijde  ho,  kitne  retails  lut  Gaye  iss  share  m",uxhxhhd,2025-03-17 21:55:00
Balaji Amines,"Promoter  ko  sochna  chahiye  ki  Jo  investor  pichle  5  saal  se  company  ke  sath  h,  unko  yaha  bachana  chahiye",uxhxhhd,2025-03-17 21:50:00
Balaji Amines,Abki  Baar  2000  Paar..Haahaha,sanv,2025-03-17 19:51:00
