Stock,Comment,Commented By,Timestamp
Chemplast Sanmar,"the  bond  market  is  more  stable  than  the  stock  market,  with  bonds  being  less  affected  by  market  fluctuations  keeping  your  capital  protected  and  less  impacted  by  the  market  fluctuations.  explore  bonds  for  some  stability-https://bit.ly/4codpxd",The Fixed Income,2025-04-07 20:34:00
Chemplast Sanmar,today    MUTUAL    funds  huge    adjustment    for    purpose    of  tex    adjustment.,user3161,2025-03-27 16:03:00
Chemplast Sanmar,pest  pvc  me  anti  dumping  duty  job  EU.  or  Japan  ke  import  ke  upar  lagega  tob  company  ke  liye  sehi  hoga.  EU  or  Japan  ka  investigation  DGTR  kar  raha  hay.  magar  Finance  department  PVC  Suspension  resin  ke  upar  anti  dumping  duty  kab  lagayga.  mujhe  lagta  hay  isme  US  vi  hay  isliye  finance  department  somay  le  raha  hay.,subratadatta,2025-03-24 10:35:00
Chemplast Sanmar,hay  finance  department  DGTR  ki  bat  sunlo  pls.  anti  dumping  duty.  pest  pvc  or  pvc  resin  ke  upar  laga  do  jaldi  se.,subratadatta,2025-03-13 16:34:00
Chemplast Sanmar,DGTR  ki  imposed  kia  hua  anti  dumping  duty  agar  finance  department  reject  kar  diya  to  company  ki  share  value  me  kya  hoga.  mujhe  lagta  hay  Anti  dumping  duty  ke  bina  company  profits  nehi  kar  sakte  hay.,subratadatta,2025-03-13 16:20:00
Chemplast Sanmar,avoid  this  counter  as  well  as  all  mid  and  small  caps...chemplast  heading  towards  390  to  375  in  a  week  or  so.  dont  bottom  fish  otherwise  your  bottom  will  be  fished  out  by  market...,yjh,2025-03-12 23:18:00
Chemplast Sanmar,rip  to  those  who  bought  at  500  last  week  thinking  it  will  go  to  700,yjh,2025-03-12 23:16:00
Chemplast Sanmar,May  be  touched  below  Rs  390  today.,user3161,2025-03-06 12:09:00
Chemplast Sanmar,Tomorrow  group  investors  meeting  watch  very  closely  by  institutions  investors  company  growth  with  detailed  capex  expenses.,user3161,2025-03-05 13:01:00
Chemplast Sanmar,Morning  Monday  may  be  open  above  IPO  Price  i  e  Rs  541.,user3161,2025-03-02 17:22:00
Chemplast Sanmar,"asserting  that  india  was  heavily  dependent  on  import  of  paste  pvc  from  taiwan,  korea,  thailand,  china  and  malaysia  to  some  extent,  he  said  that  if  one  included  europe  as  a  block,  it  would  account  for  a  significant  portion  of  imports.",Jite0779,2025-03-01 14:19:00
Chemplast Sanmar,"Chemplast  Sanmar  enters  into  Power  Purchase  Agreement  with  JSW  Green  Energy  Nine

The  company  and  its  wholly  owned  subsidiary,  Chemplast  Cuddalore  Vinyls  CCVL,  have  entered  into  a  Power  Purchase  Agreement  with  JSW  Green  Energy  Nine,  the  special  purpose  vehicle  incorporated  by  JSW  Neo  Energy  for  setting  up  renewable  power  plants  in  Tamil  Nadu.

These  plants  will  have  a  solar  capacity  of  64.9  MW  AC  92.80  MW  and  wind  capacity  of  20  MW.

Additionally,  Chemplast  Sanmar  and  subsidiary  CCVL  agreed  to  acquire  up  to  18.46prcnt  equity  shares  and  7.81prcnt,  respectively,  in  JSW  Green  Energy  Nine,  for  Rs  30.43  crore.",kamal20,2025-02-28 17:14:00
Chemplast Sanmar,Any  time  it  will  cross  the  500/-.  today  .  .  .  .,venkatarock,2025-02-21 10:20:00
Chemplast Sanmar,Chemplast  is  highly  undervalued  due  to  it  is  south  based  company..  look  Epigral  (  Formerly  Mechmani  Finechem)  same  product  portfolic  quoting  extraornary  mcap  by  decreasing  performance...  Hold  it  future  SRF  in  price,Shareapps,2025-02-19 13:19:00
Chemplast Sanmar,destocking  by  china  in  chemicals  sector  every  company  this  qtr.  report  v  challenging.  but  future  cepex  as  well  as  chemplast  sanmar  limited  management  longer  experiences  and  very  transparent.  hold  for  long  terms.,user3161,2025-02-13 17:16:00
Chemplast Sanmar,Leading  CHEMICALS    company  growth  very  rapidly  has  been    started  in  the  Nation.,user3161,2025-02-01 20:32:00
Chemplast Sanmar,Speciality  Paste  PVC  Regin  expand  capacity  in  Berigai.  The  recently  signed  an  MoU  with  the  State  Government  specitlity  out  its  long  term  investment  plan  which  would  help  CHEMICALS  make  enhancing  its  manufacturing  capacity  and  boost  production  volumes  in  near  future.  The  Also  ICICI  Funds  huge  buying  the  CHEMPLAST  SANMAR  LIMITED  shares  in  December  qtr.,user3161,2025-01-25 13:20:00
Chemplast Sanmar,CHEMPLAST  SANMAR  LIMITED  possibility    trade    Rs  300  range  reason    Chemical  industry    something    improve    but  this  company    management    everytime    says    next  qtr.  report    improve  since  last  3  years    but  nothing  till  date.,user3161,2025-01-19 21:34:00
Chemplast Sanmar,Before  qtr.  report  very  good  opportunity  inter  the  stock  at  current  market  prices.  Cepex  expenses  Rs  1007  further  announces  company  execute  vice  president.,user3161,2025-01-15 20:47:00
Chemplast Sanmar,SANMAR  LIMITED:  Speciality  Chemicals  maker  CHEMPLAST  SANMAR  LIMITED  plan  to  invest  Rs  1007  CHEMPLASTcrore  to  add  capacity  arross  its  factories  i  Tamil  Nadu  over  the  next  four  years  an  executive  vice  president  R.Karthik  said.  The  plan  is  to  expand  capacities  at  the  custom  manufactured  CHEMICALS  division  in  Berigai  as  well  as  the  Special  Paste  PVC  Resin  manufactureing  into  the  Cuddatore.  The  SANMAR  Group  s  flagship  had  recently  signed  zn  MoU  with  the  state  government  Specialty  out  its  long  term  investment  plan  which  would  help  the  Chemicals  maker  enhance  its  manufacturing  capacity  and  boost  production  volume.  Today  may  be  touched  uc  possibility  in  exchanges.  Today  the  company  stock  may  be  open  uc  possibility  in  b,user3161,2025-01-15 07:12:00
Chemplast Sanmar,even  chemplast  have  a  good  market  price  that  is  over  rs.  475  or  so,KING1955,2025-01-11 12:41:00
Chemplast Sanmar,any  time  i  t  will  cross  the  600  so  and  see.  upcoming  results  will  be  too  good.,venkatarock,2025-01-09 19:24:00
Chemplast Sanmar,dontt  think  this  is  a  trustworthy  company  .,vfYOiIr7i1,2025-01-08 14:51:00
Chemplast Sanmar,company  leaders  in  pve  and  others  industries  product.,user3161,2025-01-04 11:59:00
Chemplast Sanmar,Next  rally  will  cover  Chemical  Sector  March  2024  target  1000  plus,tprajakta1970,2025-01-03 10:26:00
Chemplast Sanmar,1000  3/4  months  attractive  share,ljomabhai,2025-01-02 21:09:00
Chemplast Sanmar,Up  coming  results  will  be  every  good  try  to  buy  as  soon  as  possible.,venkatarock,2025-01-02 15:00:00
Chemplast Sanmar,target  600  plus  buy  fast  dont  loose  patience  its  our  time,stockfact,2025-01-02 11:00:00
Chemplast Sanmar,it  will  never  cross  its  ipo  price...  like  AGS  transact..  junk  script..,nssns,2024-12-28 12:03:00
Chemplast Sanmar,All  MUTUAL  FUND  investors  nav  sattle  the  calander  year  2023  very  good  opportunity  inter  the  stock  at  present  market  prices.,user3161,2024-12-28 11:05:00
Chemplast Sanmar,big  opportunity  at  current  market  prices  buying  may  be  crossed  rs  1000  after  fourthcoming  qtr.  report.,user3161,2024-12-26 18:54:00
Chemplast Sanmar,"its  financial  result  is  very  poor,.  .  .  .chalega  nahi.    ..  .",alyssum,2024-12-23 15:14:00
Chemplast Sanmar,BUY  CHEMPLAST  :  512  -  513  TARGET  :  530  -  535  SL  :  500,sanchibullishindia1,2024-12-22 08:52:00
Chemplast Sanmar,raw  material  cost  decreased  and  finished  product  price  increased.  coming  quarters  to  be  superb  so  this  is  the  reason  it  is  increasing.  target  of  rs  650  in  next  6  months.,rits1088,2024-12-21 13:21:00
Chemplast Sanmar,"The  commercial  production  from  Phase  II  of  Multi-Purpose  Production  Block  at  the  Custom  Manufactured  Chemicals  Division,  Berigai,  has  commenced",kamal20,2024-12-20 09:26:00
Chemplast Sanmar,Hay  DGTR  and  Finance  Department  case  no  .  6  .  17  .  2023.    and  6  .  33  .  2023.  anti  dumping  investigation  jaldi  pura  karke  company  ke  favor  may  kuch  decision  lijiye  please.  taki  hamare  jaisa  Chhota  investors  ko  kuchh  fayda  Ho.,subratadatta,2024-12-17 21:11:00
Chemplast Sanmar,reliance  increases  pvc  prices  by  rs  2000/  pmt.  positive  for  chemplast  sanmar  too,aarpee05,2024-11-30 22:11:00
Chemplast Sanmar,Compare  to  Chemplast  with  Wipro.  Fundamentally  Wipro  looking  sound  stock,RGB21304,2024-11-30 13:28:00
Chemplast Sanmar,isko  koi  jagaooo...541  iska  ipo  price  he....  waha  Tak  pohchao...,nssns,2024-11-30 12:17:00
Chemplast Sanmar,"CHEMPLAST  SANMAR!Why  there  is  huge  vol  of  trade  and  ,95  perc  and  above  delivery?whats  cooking  up?shipping  news  is  old.Somebody  throw  light  on  it,?closely  watch  Guys!",JAGGBA,2024-11-21 11:26:00
Chemplast Sanmar,now  it  will  not  reach  ipo  price  for  next  5  to  6   stock  base  less...,nssns,2024-11-17 14:00:00
Chemplast Sanmar,"sanmar  shipping  ltd,  a  part  of  chennai-based  sanmar  group,  has  opened  a  100  percent  unit  in  singapore  and  acquired  two  second  hand  product  tankers  under  the  singapore  flag  with  plans  to  add  more  ships  in  a  development  which  demonstrates  that  indian  shipowners  are  looking  at  overseas  financing  options  to  buy  ships  given  the  constraints  in  india.",Jeet_Bullish,2024-11-16 22:58:00
Chemplast Sanmar,bad  q2  results  announced  today,vinayhirawatpp,2024-11-05 21:05:00
Chemplast Sanmar,Result  is  not  as  per  expectation.  No  growth  in  revenue.  Actual  Q2  in  loss.  Deferred  tax  liability  is  reversed.,Vigorous,2024-11-02 20:44:00
Chemplast Sanmar,"buy  ashima  limited  for  multibagger  returns,.  the  company  is  transforming  into  a  multibusiness  company  with  great  future  potential,.  buy  and  hold  for  2  years.  do  study  the  recent  developments  in  the  company  operations.",rotator,2024-11-01 18:36:00
Chemplast Sanmar,the  custom  manufactured  chemicals  division  of  chemplast  sanmar  limited  has  signed  a  letter  of  intent  (loi)  with  a  global  agrochemical  innovator  to  manufacture  a  new  pipeline  active  ingredient  (ai).  the  loi  covers  a  period  of  5  years.  commercial  supplies  are  expected  to  start  from  cy  2025.  this  new  product  will  be  manufactured  in  our  recently  commissioned  production  block,kamal20,2024-10-31 11:34:00
Chemplast Sanmar,the  custom-manufactured  chemical  division  signed  an  loi  with  a  global  agrochemical  innovator  to  manufacture  a  new  pipeline  of  active  ingredients  for  five  years.  commercial  supplies  are  expected  to  start  in  cy2025.,kamal20,2024-10-31 11:25:00
Chemplast Sanmar,management    very  aggressively  focused  on  the  company    growth  in  future  operations  margin  increased  due  to  backward    integration  of  the  company.,user3161,2024-10-24 12:13:00
