Stock,Comment,Commented By,Timestamp
Deepak Nitrite,"Deepak  showing  us  the  quicker  way  to  higher  profits,  buy  Delta  Corp  and  TCI  Ex  now.",Smart Soul,2025-03-21 01:48:00
Deepak Nitrite,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 01:46:00
Deepak Nitrite,Gujarat  14000  crores  capex  by  2027  will  skyrocket  this  stock.......,rizulagg5,2025-03-14 10:26:00
Deepak Nitrite,"crude  oil  was  positive  yesterday  so  deepak  nitrite,  asian  paints  will  be  negative  today..  may  collapse  to  8-10  percent  today",sinham,2025-03-12 08:37:00
Deepak Nitrite,"today  blood  bath  at  nifty  share  except  asian  paints,  deepak  nitrite  as  crude  oil  price  down,  this  share  will  come  up",sinham,2025-03-11 06:46:00
Deepak Nitrite,I  bought  this  at  1989  and  it  is  coming  down  since  then...  what  bad   there  any  hope  of  coming  to  profit,market_tips,2025-03-10 18:49:00
Deepak Nitrite,Will  it  move  upward  or  not...  as  I  bought  it  at  1980  level  and  it  again  going  down  side...  giving  losses...,niksa1,2025-03-10 17:43:00
Deepak Nitrite,On  Monday  it  will  reach  2150..  shorters  pls  take  care,Dhano90,2025-03-08 12:43:00
Deepak Nitrite,dont  repeat  your  message,lhh,2025-03-04 23:22:00
Deepak Nitrite,strong  fundamentals.  -  my  target  for  deepak  nitrite  is  rs  2500  for  the  long  term  with  a  stoploss  of  rs  na,DrA1985,2025-02-28 15:43:00
Deepak Nitrite,"profit  milega  re  bhai  log,  pateince  rakhne  ka.",DrA1985,2025-02-28 15:41:00
Deepak Nitrite,phenol  prices  are  increasing  worldover.  It  is  a  strong  bet  for  Deepak  Nitrite.,RKK27,2025-02-27 09:57:00
Deepak Nitrite,"3000  target  hold  it  investors  stock  for  long  term  ,  enjoy  investing  not  for  traders  and  operator.  others  pl  exit  the  forum  as  they  will  be  sad  once  it  is  3000  missing  feelings",CBI stocks,2025-02-27 00:05:00
Deepak Nitrite,"as  told  down  from  2350  level  to  2300  level.  now  if  sustain  below  2300  level  ,  then  more  downside  is  possible  and  that  too  big  one.",karqwee,2025-02-26 13:32:00
Deepak Nitrite,Meeting  with  IIFL  on  27th  February.....Preference  Shares  may  be  finalized....,Dewanand,2025-02-24 21:02:00
Deepak Nitrite,get  ready  for  Rs  2250  shortly....,Dewanand,2025-02-24 17:47:00
Deepak Nitrite,selling  pressure  at  2350  levels.  sell,karqwee,2025-02-23 09:38:00
Deepak Nitrite,"selling  pressure  at  2350  level.  if  it  breaks  and  sustain  below  2300,  huge  downside  possible  for  tomorrow.",karqwee,2025-02-21 19:15:00
Deepak Nitrite,dream  doesnt  always  come   Naveen  fluorine  to  reach  4000  levels  which  lic  has  bought  then  only  DN  will  make  2700  levels,anju5599,2025-02-21 19:10:00
Deepak Nitrite,Trade  with  us  on  the  most  accurate  calls  everyday    just  text  on    WHTSZAP  SEVENN  30073  DOUBLE  0NE  44..,PUJA_STOCKSMARKET743,2025-02-21 09:28:00
Deepak Nitrite,Market  recovered  buy  Deepak  nitrite  above  2000  for  tgt  2025...2050  Today,suhish,2025-02-21 09:22:00
Deepak Nitrite,2050  comming  ..  shortcovering  come.,sid_jain5,2025-02-21 09:16:00
Deepak Nitrite,"India  to  be  the  place  for  chemical  manufacturing,  says  Maulik  Mehta  from  Deepak  Nitrite",RK0079,2025-02-21 04:13:00
Deepak Nitrite,"EUROPE  PHENOL  prices  also  rising  

Phenol  prices  in  Germany  have  risen  by  USD  70  per  ton",RK0079,2025-02-21 04:12:00
Deepak Nitrite,"Chinas  top  PHENOL  Producer  SINOPEC  hikes  prices  of  Phenol

SINOPEC  is  one  of  the  largest  chemical  cos  in  world",RK0079,2025-02-21 04:11:00
Deepak Nitrite,Buy  and  hold  for  immediate  target  of  Rs  2250.....,Dewanand,2025-02-20 16:10:00
Deepak Nitrite,Jisko  stock  mkt  ka  ABC  nhi  aata....  kuchh  bhi  likh  deta  hai.....  free  ka  forum  hai....  If  this  could  be  paid  service..  hardly  5  percent  would  have  enrolled....,Dewanand,2025-02-20 15:09:00
Deepak Nitrite,i  am  holding  since  190  level  year  2018,anilpharma11,2025-02-20 14:34:00
Deepak Nitrite,What  happened  to  your  sell  call  this  has  spared  over  2350.  Bhaiya  yeh  toh  bus  shuraat  hai  deepak  is  destined  to  go  to  new  highs  in  2024  just  buy  and  hold  this  gem.,ahuja.12,2025-02-20 14:17:00
Deepak Nitrite,Heavy  short  covering  this  week  will  lead  the  Deepak  nitrate  stock  to  2200  above,NCB1970,2025-02-19 21:50:00
Deepak Nitrite,promoters  continuously  acquiring  Deepak  Nitrite  shares...,rizulagg5,2025-02-19 19:34:00
Deepak Nitrite,Morgan  Stanley  initiated  Rs  3000  target  for  Deepak  Nitrite....  published  in  Money  control.....,Dewanand,2025-02-19 12:11:00
Deepak Nitrite,Some  prominent  analyst  recommended  for  Rs  2340  by  next  week.,Dewanand,2025-02-19 11:52:00
Deepak Nitrite,Today  again  promoters  and  institutions  may  grab  ...,Dewanand,2025-02-19 11:49:00
Deepak Nitrite,Buy  Deepak  Nitrite  at  1907  with  a  target  of  1980,javed_patel,2025-02-19 11:04:00
Deepak Nitrite,sell  at  this  price  unless  big  losses,vijay_gid,2025-02-19 09:23:00
Deepak Nitrite,get  ready  for  Rs  2250  .....,Dewanand,2025-02-19 08:56:00
Deepak Nitrite,promoters  bought  yesterday  aaj  UC  lagao,PrimeWork,2025-02-19 07:54:00
Deepak Nitrite,best  buying  level  1700  to  1740  level,JohnSecurities,2025-02-19 05:53:00
Deepak Nitrite,stock  has  been  retained  in  FandO  ban,kamal20,2025-02-17 23:07:00
Deepak Nitrite,It  is  going  to  Rs  2250......Jahan  se  niche  aaya  ....  vaapas  ja  rha  hai......,Dewanand,2025-02-17 13:11:00
Deepak Nitrite,why  not  down  why  raising,Chetangovindnerpagar,2025-02-17 11:52:00
Deepak Nitrite,today  stock  is  under  FandOban,kamal20,2025-02-17 09:18:00
