Stock,Comment,Commented By,Timestamp
Fine Organics,"the  bond  market  is  more  stable  than  the  stock  market,  with  bonds  being  less  affected  by  market  fluctuations  keeping  your  capital  protected  and  less  impacted  by  the  market  fluctuations.  explore  bonds  for  some  stability-https://bit.ly/4codpxd",The Fixed Income,2025-04-07 20:30:00
Fine Organics,that  moment  is  not  very  far  when  it  will  cross  7.5k  level  in  an  year  time  frame.  strong  fundamental.,Satvikgupta260389,2025-04-04 13:53:00
Fine Organics,"Buy  fine  organic  for  long  term,  good  to  do  SIP  or  even  lumpsum  is  good  option",pras91,2025-03-20 21:15:00
Fine Organics,"Public  shareholdings  is  6.94  percent  as  per  money  control  is  held  by  HNI  with  full  confidence  in  global  leadership  in  oleo  chemical  from  Fine  Organic  Ltd.  Accumulate,  Sky  is  the  limit.",tejaspopat1997,2025-03-18 10:30:00
Fine Organics,"congratulations  to  all  the  morons  who  wait  for  stock  be  at  52  week  lows  before  selling.  its  unbelievable  how  fearful  and  greedy  people  are.  whoever  is  selling  now  was  either  wrong  before  or  is  wrong  now  or  was  wrong  before  and  is  wrong  now,  i  think  its  the  third  case.  7000  me  kharido  4000  ne  becho  shaabash  %ud83d%udc4d",fundabull0221,2025-03-15 15:13:00
Fine Organics,"what  an  idiot  you  are!  multiple  brokers  have  shared  details  of  their  conversation  with  the  management.  if  you  dont  know  anything,  just  google  it.  management  has  said  they  expect  numbers  to  improve  from  1st  quarter  of  next  financial  year  as  chinese  destocking  is  almost  over  but  they  arnt  expanding  any  further  right  now.",ksg3105,2025-03-07 17:34:00
Fine Organics,Says  who?  What  is  your  source  since  there  was  no  concall?,fundabull0221,2025-03-07 01:55:00
Fine Organics,management  said  no  capex  for  next  two  years,ksg3105,2025-03-06 12:49:00
Fine Organics,I  have  90  shares  it  consist  of  half  of  my  portfolio,Varunadlakha,2025-02-28 21:20:00
Fine Organics,"in  fine  organics  ,  value  buying  can  be  done  at  current  level.  very  attractive  price.  good  company  with  very  good  prospect.  buy  at  current  level  for  immediate  25%-30%  profit  in  next  2  months.",Pint007,2025-02-28 14:58:00
Fine Organics,"If  you  in  losses,  do  not  sell  a  single  share.  it  will  make  its  lift  time  high  again  in  2025.  Pain  is  finished  now",Treasure_Hunter,2025-02-27 23:34:00
Fine Organics,sell  sell  target  is  coming  3150...,Smit016Gandhi,2025-02-27 11:44:00
Fine Organics,"Bhai  bhang  ke  nashe  me  target  ulta  de  baithe  tum,CMP  3831  aur  target  3700  dena  tha  tumhe  ????????????",omasutosh1984,2025-02-24 16:49:00
Fine Organics,Buy  Fine  Organic  Industries  at  3831  with  a  target  of  3950,jamalshaikh,2025-02-21 11:02:00
Fine Organics,top  chemical  company  in  India,pidilite123,2025-02-19 20:40:00
Fine Organics,China  destocking  is  over  and  speciality  chemicals  co  should  start  growing  from  March  quarterly  results.  Demand  scenario  is  improving  and  plant  capacity  utilisation  is  also  increasing,Rocky62,2025-02-13 12:38:00
Fine Organics,why  volume  is  always  low  at  this  counter,Amit1617,2025-02-13 10:56:00
Fine Organics,Faltu  script  falling  everyday.,Nav_12,2025-02-13 09:24:00
Fine Organics,"if  it  will  break  3900,  then  it  will  go  down  further,  so  try  to  put  a  strict  stoploss  and  play  around..",Subratkumar,2025-02-12 22:32:00
Fine Organics,"can  anyone  suggest  plz  my  buy  price  is  4617,  should  I  stay  or  exit?  I  bought  it  in  2x  margin.  5paisa  charging  me  everyday.  should  I  exit  or  stay  for  few  more  days?",avishekh,2025-02-11 11:37:00
Fine Organics,what  is  sheduled  on  8th  feb  then  and  how  much  quantity  do  you  hold,Varunadlakha,2025-02-05 18:10:00
Fine Organics,"fine  organic  q3  profit  down  12prcnt,  revenue  up  5prcnt

1  net  profit  down  12.2  percent  at  rs  82.7  crore  versus  rs  94.2  crore,  yoy

2  revenue  up  5.1  percent  at  rs  513.2  crore  versus  rs  488.4  crore,  yoy",kamal20,2025-02-05 13:17:00
Fine Organics,Concall  is  sheduled  check  bse,Varunadlakha,2025-02-05 12:54:00
Fine Organics,nine  months  results  on  you  comparison  is  much  better.  unrest  in  some  parts  of  the  world  has  insignificantly  reduced  top  line  and  marginally  bottom  line  during  q3.  number  of  projects  by  the  company  are  huge.  only  thing  required  is  to  reach  out  globally.  accumulate.,tejaspopat1997,2025-02-05 10:45:00
Fine Organics,please  let  me  know  today  target,subhu777,2025-02-05 06:45:00
Fine Organics,its  time  to  reduce  weight  from  portfolio,uyytfxgh,2025-02-04 19:00:00
Fine Organics,Revenue  of  513cr  has  missed  estimates  of  561cr  and  PAT  of  83cr  has  missed  estimates  of  103cr.  Bad  numbers  compared  to  Vinati  and  SRF,rishi30790,2025-02-04 18:34:00
Fine Organics,"Fine  Organics  faces  notable  challenges  on  the  demand  side,  which  could  impact  its  growth  prospects.  Additionally,  geopolitical  uncertainties  may  hinder  price  appreciation,  especially  given  the  company’s  significant  reliance  on  exports.  The  stock  presents  a  favorable  trading  range,  with  a  potential  buy  zone  between  ₹4,100–₹4,500  and  a  target  sell  range  of  ₹5,000–₹5,300.",uyytfxgh,2025-02-04 12:21:00
Fine Organics,3850  Target  ????  Coming  Soon.....,Smit016Gandhi,2025-02-03 22:39:00
Fine Organics,"chemical  sector  has  huge  scope,  it  will  cover  all  loses  in  one  month,  hopefully  it  will  move  aggressively  after  March   ..2024  is  good  for  chemicals",Natwarlal_nattu,2025-02-03 11:47:00
Fine Organics,"The  result  is  good,  better  than  expected..  it  may  fall  market  knows  best  but  I  will  hold",sanand1985,2025-02-02 22:52:00
Fine Organics,Gmm  pfaudler  fine  organics  fairchem  organics  in  sabka  result  bakwas  aa  raha  Hai...  Aur  mene  sab  se  jyada  inhi  me  invest  kiya  hai...  View  very  long  term  hai...  Genuine  advice  dena...,st0123,2025-02-02 22:08:00
Fine Organics,very  bad  results..  horrible  bad..  sell  sell  sell  ..lower  circuit  on  Monday...,Natwarlal_nattu,2025-02-02 17:56:00
Fine Organics,result  on  2nd  February  I  expect  good  result  on  getting  good  result  it  may  go  to  4800  after  sometime,narsingdas2015,2025-01-27 08:47:00
Fine Organics,Abhi  isko  koi  nahi  khareed  raha   yahan  se  4-5  guna  ho  jaayega  fir  khaareedengey  aur  kahengey  fass  gye......Most  undervalued  stock  in  chemical  industry,honey716,2025-01-24 15:15:00
Fine Organics,"Its  a  multibagger  stock
keep  it  hold  till  reach  10000",vinodkdagar,2025-01-22 09:38:00
Fine Organics,Now  fine  organic  in  correction  zone  therefore  I  have  converted  my  stock  into  ESAF  SMALL  FINANCE  BANK  as  the  shortly  result  due  and  stock  fundamentally  looking  extremely  good  for  more  details  of  fundamental  of  stock  go  through  Money  Control.,RGB21304,2025-01-20 15:27:00
Fine Organics,"Today  morning  on  January  18,  2024,  a  fire  incident  occurred  in  a  plant  adjacent  to  the  small  manufacturing  plant  of  Fine  Organic  Industries  Limited",AAYUSH1040,2025-01-18 20:21:00
Fine Organics,Prabhudas  liladhar  sirf  negative  news  ke  liye  post  krti  hai........:bhale  hi  kabhi  baat  sahi  nikle  yaa  nahi,honey716,2025-01-18 12:31:00
Fine Organics,"Fine  Organics  Industries to  report  net  profit  at  Rs.  45  crore  down  65.7%  year-on-year  (down  43.3%  quarter-on-quarter).  Net  Sales  are  expected  to  decrease  by  44.6  percent  Y-o-Y  (down  12  percent  Q-o-Q)  to  Rs.  415.2  crore,  according  to  Prabhudas  Lilladher.",Natwarlal_nattu,2025-01-18 12:15:00
Fine Organics,buy  for  big  jump  .  target  6000,Ajay19641964,2025-01-16 13:01:00
Fine Organics,Utha  le  re  baba  koi  isko,honey716,2025-01-12 11:57:00
Fine Organics,4700  k  SL  ko  hit  kar  k  aayega  ek  baar,ravi4399,2025-01-11 14:34:00
