Stock,Comment,Commented By,Timestamp
Tata Chemicals,tomorrow  upper  circuit,saikrishnagoud,2025-03-21 02:01:00
Tata Chemicals,In  any  case  it  is  always  good  to  follow  clik     to  comments  here  atleast  gives   a  good  view  of  the  market  treds,ohsidms,2025-03-21 01:58:00
Tata Chemicals,TCL  is  slated  to  enter  into  Benzene  based  chemicals.  This  project  was  started  in  2023  and  will  start  production  soon.  It  will  the  cheapest  benzene  chemicals  producer  due  to  available  backward  integration.  Wait  for  Q1  Fy26  results.,harriharri,2025-03-21 01:58:00
Tata Chemicals,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 01:51:00
Tata Chemicals,"TATAs  Will  float  IPO,  wait  a  few  days",shyamalb,2025-03-21 01:00:00
Tata Chemicals,March  month  Target  920  -  900,yuvatamil,2025-03-20 19:32:00
Tata Chemicals,not  to  sell  ..hold  nothing  to  worry  negligible  fall.,rajkum,2025-03-20 18:31:00
Tata Chemicals,Only  scamer  stock  high  level  par  investors  ko  buy  karne  par  majbur  karke  fasa  diya.....  ab  5  saal  lag  jayenge  ise  new  52week  high  par  aate  aate...  Abhi  bhi  vaqt  hai  investaro  yaha  se  nikalo  aur  quality  stock  buy  karo  kam  se  kam  aapki  capital  to  secure  rahegi.....,dinu1234,2025-03-20 18:15:00
Tata Chemicals,the  tata  chemicals  stock  fell  7.93  percent  with  strong  volumes  on  march  20.  about  93  lakh  shares  changed  hands  compared  to  the  monthly  average  of  57  lakh.,kamal20,2025-03-20 17:16:00
Tata Chemicals,tomorrow  will  easily  go  down  below  1000  mark,bapu007,2025-03-20 17:05:00
Tata Chemicals,this  stock  will  touch  1050/55  tomorrow  easily  ban  honeke  bavjood  ye  level  touch  karega  sure.,jagdish542,2025-03-20 16:02:00
Tata Chemicals,friends  watch  level  1040  if  it  crashes  then  it  will  touch  980-990,sai_love,2025-03-20 14:40:00
Tata Chemicals,was  telling  since  last  so  many  days  to  exit  as  tatas  has  decided  not  to  list  ipo  of  t  sons.  it  will  eventually  settle  around  rs  900.  they  sold  shares  of  tcs  for  rs  9000  crores  to  reduce  debts  to  get  exemptions  from  rbi.  exit  at  your  earliest.,Raj1961,2025-03-20 14:34:00
Tata Chemicals,"buy  on  rumor  and  sell  on  news.  soda  ash  price  slashed  now,  the  profit  will  be  less  than  the  last  quatres.",Sri008,2025-03-20 14:15:00
Tata Chemicals,invester  must  realize  its  market  cap  is  only  26492  crore.  cash  reserve  is  21148  crore.  plant  cwp  put  togyher  is  35907  crore.  price  to  book  value  is  only  1.28  no  chemical  stock  has  value  price  to  book  value  -3  and  stack  in  tata  sons  is  addional  its  no  brain  its  true  value  is  beyond  3k.  its  like  irfc  getting  at  rs  20.,VB9,2025-03-20 14:07:00
Tata Chemicals,some  one  has  dumped  at  least  8  days  equivalent  stock  today,andysadana,2025-03-20 13:57:00
Tata Chemicals,available  at  very  cheap  rate  today.  it  will  definitely  will  back  in  1100  series  by  tomorrow,Sajals,2025-03-20 12:13:00
Tata Chemicals,tata  needs  more  money  for  debt   chemical  is  down  duento  crude  oil  price  hike,Rajiv271,2025-03-20 10:51:00
Tata Chemicals,"Strictly,  Not.  wait  for  market  correction.  Some  stocks  are  just  hyped  &  overvalued.  today  its  at  LC.  So  wait  till  750₹.  Then  u  can  get  some  15-20%  upside  then  sell  it",KRR10,2025-03-20 10:51:00
Tata Chemicals,why  so  much  crash  in  tata  chemicals  today?,rajubh,2025-03-20 10:50:00
Tata Chemicals,Today  20%  down  hoga  Aisa  lag  raha  hai,Manojk1969,2025-03-20 10:26:00
Tata Chemicals,SEBI  SEBI  rider  ho.  kya  ker  rehe  ho.  how  come  any  news  comes  without  authentication  and  you  do  not  take  action.,lossess,2025-03-20 10:14:00
Tata Chemicals,Ideal  level  is  400  to  500  range  only,Manojk1969,2025-03-20 10:12:00
Tata Chemicals,what  is  ideal  level  to  average,nbhas,2025-03-20 10:00:00
Tata Chemicals,wow  what  an  opportunity  to  buy  at  this  price,Stickman,2025-03-20 09:49:00
Tata Chemicals,Fake  news  floated  to  trap  innocent  traders  &  Investors.  wait  for  lower  levels  to  average.,inaraj30a,2025-03-20 09:30:00
Tata Chemicals,"Tata  son  selling  TCS  shares  worth  ten  thousand  crores,probably  to  repay  all  debts  to  escape  from  IPO",Elcee180,2025-03-19 06:10:00
Tata Chemicals,tata  sons  ipo  most  likely  per  latest   chemicals  is  the  biggest  beneficiary..  tomorrow  it  will  hit  UC?,karsek,2025-03-18 19:18:00
Tata Chemicals,Tata  chemicals  has  won  in  one  tax  case  and  will  get  refund  of  Rs.59  crores.tomirriw  stock  could  touch  1180.,shenoybr73,2025-03-18 19:00:00
Tata Chemicals,expect  to  open  around  792  and  intraday  low  of  786,SKILLER,2025-03-17 06:56:00
Tata Chemicals,since  listing  is  cancelled  tata  chemicals  move  is  over,TOMEY123,2025-03-15 15:13:00
Tata Chemicals,"According  to  people  in  the  know,  Tata  Sons  has  explored  a  potential  listing  twice,  first  in  2007  during  Ratan  Tatas  tenure  as  chairman  and  again  in  2016  under  Cyrus  Mistrys  leadership.",kamal20,2025-03-15 09:32:00
Tata Chemicals,Tata  Sons  faces  a  delicate  balancing  act  between  pragmatism  and  upholding  its  legacy,kamal20,2025-03-15 09:31:00
Tata Chemicals,Either  way  Tata  chemical  will  benefit.  Tata  sons  IPO  will  unlock  value  in  near  term  otherwise  3%  in  Tata  sons  will  grow  faster  than  IPO  value  unlock.,VRInvestr,2025-03-14 22:06:00
Tata Chemicals,tata  chemicals  near  launch  in  battery  chemicals  .  huge  demand  in  this  business.  New  target  in  tata  chemicals  Rs.1500  in  one  month,GrtOpinion2018,2025-03-14 11:58:00
Tata Chemicals,will  touch  1150  till  Friday,ka8652,2025-03-14 00:47:00
Tata Chemicals,Tata  chemicals  sale  target  950  by  Friday.,Prashant1965,2025-03-13 19:13:00
Tata Chemicals,tata  chemicals  is  step  child  of   buying  by  promotors  even  below  book   like  it  will  sleep  like  kumbhkaran  for  next  6  months,shivagrwal,2025-03-13 13:05:00
Tata Chemicals,"PM  Modi  to  inaugurate  TATAS  Semiconductor  Fab  Unit  at  Dholera,  Gujarat  at  11  AM",Meeeeeeet,2025-03-13 00:32:00
Tata Chemicals,"All  sectors  are  correcting  which  involves  small,  mid  and  large  which  ran  too  ahead  from  it  real  valuations.  Tata  chemicals  in  the  other  consolidated  for  the  last  2.5  years.  Expecting  a  great  uptrend  in  the  next  few  trading  sessions",DMJF,2025-03-12 20:30:00
Tata Chemicals,Stock  with  high  fundamentals.  Just  undergoing  technical  gap  fill  correction  in  the  chart.,shivagrwal,2025-03-12 19:15:00
Tata Chemicals,This  will  come  below  1000..  Retail  investors  please  becareful.,Girish05,2025-03-12 18:08:00
Tata Chemicals,Chaos  was  prevalent  in  almost  all  the  sectors  and  stocks  in  the  last  2  weeks.  It  is  just  not  Tata  chemicals  which  has  taken  beating.  There  has  to  be  a  great  rebound  this  week.  Patience  and  long  term  investors  will  benefit  the  most,DMJF,2025-03-12 15:44:00
Tata Chemicals,"Use  dips  in  all  our  given  stocks,  will  show  reversal  soon,  available  in  heavy  discount.",ani0008,2025-03-12 14:38:00
