Stock,Comment,Commented By,Timestamp
Tata Chemicals,"Tata  Capital  finalises  10  i-banks  for  over  Rs  15,000  crore  mega  IPO,  may  opt  for  confidential  filing.

The  IPO,  expected  to  be  a  combination  of  primary  and  secondary  issue  of  shares,  may  see  parent  Tata  Sons  and  investor  IFC  paring  stake.

Tata  Capital  is  a  non-banking  financial  services    NBFC  firm  and  a  subsidiary  of  the  business  groups  principal  investment  holding  company  Tata  Sons.  

Tata  Capital  finalises  10  i-banks  for  over  Rs  15,000  crore  mega  IPO,  may  opt  for  confidential  filing.

The  IPO,  expected  to  be  a  combination  of  primary  and  secondary  issue  of  shares,  may  see  parent  Tata  Sons  and  investor  IFC  paring  stake.

Tata  Capital  is  a  non-banking  financial  services    NBFC  firm  and  a  subsidiary  of  the  business  groups  principal  investment  holding  company  Tata  Sons.",kamal20,2025-03-21 20:58:00
Tata Chemicals,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 20:50:00
Tata Chemicals,"Bro,  thats  y  I  said  in  my  previous  comments  to  wait  till  750₹.  See  my  comments  in  Intl  conveyors,  IIFL.  Tata  chemicals  is  highly  overvalued  &  news  based.  So  wait  till  750-780₹  for  gains.",KRR10,2025-03-21 20:40:00
Tata Chemicals,tomorrow  upper  circuit,saikrishnagoud,2025-03-21 20:39:00
Tata Chemicals,"Based  on  the  merits  of  the  matter,  prevailing  law  and  the  advice  of  the  counsel,  Tata  Chemicals  said  it  is  planning  to  appeal  against  this  order  before  the  National  Faceless  Appeal  Centre  (appellate  authorities).  The  company  said  it  reasonably  expects  favourable  orders  from  the  appellant  authorities.",kamal20,2025-03-21 18:30:00
Tata Chemicals,"Income  Tax  Department  has  imposed  a  penalty  of  Rs  crore  on  Tata  Chemicals  for  a  violation  related  to  disallowance  of  interest.  In  a  regulatory  filing  on  Thursday,  Tata  Chemicals  said  it  has  received  an  order  from  the  National  Faceless  Assessment  Centre,  Income  Tax  Department,  levying  a  penalty  of  Rs  crore  under  Section  270A  of  the  Income  Tax  Act  for  disallowance  of  interest  under  section  36(1)(iii)  of  the  Act.",kamal20,2025-03-21 18:29:00
Tata Chemicals,company   no.t  moving  .2  years  same  rate,infosyskachra,2025-03-21 15:17:00
Tata Chemicals,"Lithium-ion  cells  are  one  of  the  most  critical  components  for  energy  transition  and  with  our  inherent  strengths  in  chemistry,  we  at  Tata  Chemicals  are  creating  a  platform  for  electro-chemistry  solutions",jiira,2025-03-21 11:58:00
Tata Chemicals,entire  market  went  up.  but  this  is   investors  in  this  stock  like   dosre  ka  mooh  dekho...pathetic.,lossess,2025-03-21 11:38:00
Tata Chemicals,"short  covering  move,should  take  it  higher  even  tomorrow.",udeykhajuria1959,2025-03-21 10:34:00
