Stock,Comment,Commented By,Timestamp
Tata Chemicals,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 12:15:00
Tata Chemicals,tomorrow  upper  circuit,saikrishnagoud,2025-03-21 12:04:00
Tata Chemicals,TCL  is  slated  to  enter  into  Benzene  based  chemicals.  This  project  was  started  in  2023  and  will  start  production  soon.  It  will  the  cheapest  benzene  chemicals  producer  due  to  available  backward  integration.  Wait  for  Q1  Fy26  results.,harriharri,2025-03-21 12:00:00
Tata Chemicals,entire  market  went  up.  but  this  is   investors  in  this  stock  like   dosre  ka  mooh  dekho...pathetic.,lossess,2025-03-21 11:38:00
Tata Chemicals,"short  covering  move,should  take  it  higher  even  tomorrow.",udeykhajuria1959,2025-03-21 10:34:00
Tata Chemicals,IPO  or  no  IPO  it  is  a  good  buy  at  this  level.,Cool Bull,2025-03-21 07:31:00
Tata Chemicals,"TATAs  Will  float  IPO,  wait  a  few  days",shyamalb,2025-03-21 01:00:00
Tata Chemicals,again  tomorrow  Tata  chemicals  will  be  in  fno  ban  tomorrow...,bapu007,2025-03-20 22:49:00
Tata Chemicals,March  month  Target  920  -  900,yuvatamil,2025-03-20 19:32:00
Tata Chemicals,Only  scamer  stock  high  level  par  investors  ko  buy  karne  par  majbur  karke  fasa  diya.....  ab  5  saal  lag  jayenge  ise  new  52week  high  par  aate  aate...  Abhi  bhi  vaqt  hai  investaro  yaha  se  nikalo  aur  quality  stock  buy  karo  kam  se  kam  aapki  capital  to  secure  rahegi.....,dinu1234,2025-03-20 18:15:00
Tata Chemicals,i  feel  this  would  be  multibagger,VB9,2025-03-20 17:21:00
Tata Chemicals,the  tata  chemicals  stock  fell  7.93  percent  with  strong  volumes  on  march  20.  about  93  lakh  shares  changed  hands  compared  to  the  monthly  average  of  57  lakh.,kamal20,2025-03-20 17:16:00
Tata Chemicals,this  stock  will  touch  1050/55  tomorrow  easily  ban  honeke  bavjood  ye  level  touch  karega  sure.,jagdish542,2025-03-20 16:02:00
Tata Chemicals,again  in  f&o  ban  from  tomorrow  !  operators  will  not  allow  traders  without  funds/  stocks  to  easily  rollover  positions.  complete  manipulation  the  whole  month.,shivagrwal,2025-03-20 15:57:00
Tata Chemicals,friends  watch  level  1040  if  it  crashes  then  it  will  touch  980-990,sai_love,2025-03-20 14:40:00
Tata Chemicals,"buy  on  rumor  and  sell  on  news.  soda  ash  price  slashed  now,  the  profit  will  be  less  than  the  last  quatres.",Sri008,2025-03-20 14:15:00
Tata Chemicals,stock  appears  oversold....delivery  on  nse  is  only  28  percent.  stock  may  recover,Mrch,2025-03-20 14:14:00
Tata Chemicals,invester  must  realize  its  market  cap  is  only  26492  crore.  cash  reserve  is  21148  crore.  plant  cwp  put  togyher  is  35907  crore.  price  to  book  value  is  only  1.28  no  chemical  stock  has  value  price  to  book  value  -3  and  stack  in  tata  sons  is  addional  its  no  brain  its  true  value  is  beyond  3k.  its  like  irfc  getting  at  rs  20.,VB9,2025-03-20 14:07:00
Tata Chemicals,available  at  very  cheap  rate  today.  it  will  definitely  will  back  in  1100  series  by  tomorrow,Sajals,2025-03-20 12:13:00
Tata Chemicals,Today  LC  pakka  sell  Karo,krishmo,2025-03-20 11:37:00
Tata Chemicals,tata  needs  more  money  for  debt   chemical  is  down  duento  crude  oil  price  hike,Rajiv271,2025-03-20 10:51:00
Tata Chemicals,why  so  much  crash  in  tata  chemicals  today?,rajubh,2025-03-20 10:50:00
Tata Chemicals,Can  this  company  be  bought  at  the  current  price?  Or  can  I  sell  it?  Experienced  ones  can  inform.,ore,2025-03-20 10:34:00
Tata Chemicals,Today  20%  down  hoga  Aisa  lag  raha  hai,Manojk1969,2025-03-20 10:26:00
Tata Chemicals,Ideal  level  is  400  to  500  range  only,Manojk1969,2025-03-20 10:12:00
Tata Chemicals,top  lvl  ki  dhulai  ho  rahi  h,KRR10,2025-03-20 10:10:00
Tata Chemicals,what  is  ideal  level  to  average,nbhas,2025-03-20 10:00:00
Tata Chemicals,Fake  news  floated  to  trap  innocent  traders  &  Investors.  wait  for  lower  levels  to  average.,inaraj30a,2025-03-20 09:30:00
Tata Chemicals,IPO  or  no  IPO  Tatachemicals  at  this  price  is  a  value  buy.,Cool Bull,2025-03-20 09:28:00
Tata Chemicals,"Tata  son  selling  TCS  shares  worth  ten  thousand  crores,probably  to  repay  all  debts  to  escape  from  IPO",Elcee180,2025-03-19 06:10:00
Tata Chemicals,Tata  chemicals  has  won  in  one  tax  case  and  will  get  refund  of  Rs.59  crores.tomirriw  stock  could  touch  1180.,shenoybr73,2025-03-18 19:00:00
Tata Chemicals,it  will  not  go  up  ad  of  now.  all  traders  spread  fake  news  of  tata  sons  listing  and  went  away  by  selling.  all  innocent  small  investors  get  trapped.  its  tata  group  share  and  few  of  tata  share  over  valued  ans  some  of  them  never  make  money  for  investors.  stay  away  from  Tata.,lossess,2025-03-18 10:48:00
Tata Chemicals,"According  to  people  in  the  know,  Tata  Sons  has  explored  a  potential  listing  twice,  first  in  2007  during  Ratan  Tatas  tenure  as  chairman  and  again  in  2016  under  Cyrus  Mistrys  leadership.",kamal20,2025-03-15 09:32:00
Tata Chemicals,"RBIs  directive,  issued  in  September  2023,  requires  Tata  Sons,  classified  as  an  upper-layer  non-banking  financial  company,  to  list  its  shares  within  three  years.  Tata  Sons  faces  a  deadline  of  September  2025  to  go  public.",kamal20,2025-03-15 09:31:00
Tata Chemicals,Tata  Sons  faces  a  delicate  balancing  act  between  pragmatism  and  upholding  its  legacy,kamal20,2025-03-15 09:31:00
Tata Chemicals,tata  chemicals  near  launch  in  battery  chemicals  .  huge  demand  in  this  business.  New  target  in  tata  chemicals  Rs.1500  in  one  month,GrtOpinion2018,2025-03-14 11:58:00
