Stock,Comment,Commented By,Timestamp
Aarti Industries,aarti  is  treding  five  year  ago  price  this  is  cheapest  stock  1100  ka  400  hai  is  bar  within  three  month  550  plus  in  one    year  800  hoga  mark  my  word  best  stock  collaborate  with  coromandel  great  news  hold  karo  double  hoga,stockfact,2025-03-21 20:57:00
Aarti Industries,o  bas  kar  bhai  iske  bas  ka  na  hai  ????,Jawa1983,2025-03-21 20:55:00
Aarti Industries,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 20:54:00
Aarti Industries,buy  buy  now  will  blast  tgt  414  intraday,_Mihir,2025-03-21 20:54:00
Aarti Industries,buy  today  intra  tgt  414  buy  at  407  hold  for  intraday  tgt  414,_Mihir,2025-03-21 20:54:00
Aarti Industries,now  china  dump  all  chemical  products  at  throw  away  prices  how  can  Indian  companies  survive,RamKhilawan,2025-03-20 10:46:00
Aarti Industries,will  test  patience  and  make  investors  cry  before  rewarding,Mrch,2025-03-13 14:30:00
Aarti Industries,"opportunity  to  add  on  dips,  long  awaiting  momentum  expected  next  month",Nepha9,2025-03-13 11:03:00
Aarti Industries,"tu  ek  6  months  se  double  bol  raha  hai  jabki  stock    aadha  ho  gaya  .  I  doubt  you  are  human  ,  looks  like  BOT",MD_phoenix,2025-03-12 23:09:00
Aarti Industries,Iska  kya  target  Haai  Ye  month  Mee  Kyuki  mere  paaas  option  ce  hai,Stockoptionss,2025-03-11 22:06:00
Aarti Industries,yeh  phatne  wala  hai  oversold  stock  hai  in  April  huge  upside,stockfact,2025-03-11 13:58:00
Aarti Industries,"Sell  IT,  Pharma,  Auto,  Real  estate  and  buy  chemical  and  banking  stocks  ,  which  are  undervalued  and  will  be  part  of  coming  sector  rotation",Market@9,2025-03-10 08:50:00
Aarti Industries,"Chemical  stocls  will  boom  this  year,  Aarti  might  be  doubled  in  2-3  few  months  only",Market@9,2025-03-10 08:42:00
Aarti Industries,"coming  week  it  will  go  above  rs  430.
monday  it  will  trade  between  rs  400  and    rs  415.
weekly  trade  expected  between  rs  390  and  rs  430.
it  will  go  with  the  market.    market  will  flat  and  maximum  variation  may  be  200  points  in  sensex  on  monday.",mano1956iba,2025-03-08 15:50:00
Aarti Industries,aarti  is  going  to  fall  .,GEC,2025-03-07 12:42:00
Aarti Industries,aarti    collaborate  with  coromandel  for  speciality  chemicals  and  huge  upside  as  most  of  chemical  share  beaten  down  last  three  year  most  of  analyst  bullish  on  chemicals  this  year,stockfact,2025-03-07 10:29:00
Aarti Industries,"Company  entering  into  Agreement  with  Clean  Max  Enviro  Energy  Solutions  Private  Limited  and  Clean  MaxIndus  Private  Limited,  a  SPV  formed  to  set  up  a  16.50  MW  Wind  -  Solar  hybrid  power  project  to  cater  the  Companys  power  requirement,  this  is  to  further  inform  that  Company  has  entered  into  Shareholders  Agreement  dated  March  5,  2025  for  infusing  capital  of  Rs.  16,70,80,000  in  Clean  Max  Indus  Private  Limited",kamal20,2025-03-06 11:17:00
Aarti Industries,i  believe  aarti  is  good  company  and  mine  target  700  in  2025  who  believe  give  five  star,stockfact,2025-03-05 15:30:00
Aarti Industries,"bhaiyaa  anil  singhvi  aur  sushil  kedia  ki  baatein  sun  ke  hi  log  barbaad  hue  hai  ...  he  has  many  such  calls  starting  from  aarti  to  vodphone,  stanley,  idfc  countless  .  Not  that  he  bad  anchor  or  person  but  dnt  market  aur  fundamentals  ke  aage  kisi  ki  advise  nahi  chalti  .",MD_phoenix,2025-02-28 17:46:00
Aarti Industries,on  Zee  business  before  two  month  target  of  800  given  by  anil  singhvi  based  on  company  plan  as  market  is  down  so  this  stock  suffer  I  think  when  market  in  good  mood  target  550  possible,stockfact,2025-02-28 14:55:00
Aarti Industries,lagta  hai  capex  ki  naam  pe  promoter  diverting  funds  to  himself  .  6000  cr  ka  capex  ka  paisa  fd  main  daal  deta  3  years  main  1500  crs  ka  profit  ho  jata  .  definitely  diverting  funds,MD_phoenix,2025-02-28 10:41:00
Aarti Industries,Aarti  is  at  the  tail  end  of  investment  cycle.  Should  be  free  cash  flow  positive  next  year.  Performance  will  improve  with  increase  in  capacity  and  recovery  of  margins,Mrch,2025-02-27 15:10:00
Aarti Industries,company  still  in  profit  people  behave  like  company  in  loss  fair  value  500,stockfact,2025-02-27 13:27:00
Aarti Industries,now  the  doing  capex  every  year  while  their  is  no  margin  in  business  to  service  that  capex   to  ensure  profits  keep  going  down  and  they  can  buy  back  shares  at  dirt  cheap  again  .  have  not  seen  more  chor  promoter  than  this  company  .  which  playing  with  minority  shareholders  from  last  6  years  and  more,MD_phoenix,2025-02-27 12:23:00
Aarti Industries,when  market  in  good  mood  this  stock  will  cross  500  like  rocket,stockfact,2025-02-27 11:45:00
Aarti Industries,buy  aarti  ind  cmp  tgt  540  610  only  chemical  stock  will  rallyyyy  especially  aarti  indistries  and  tata  chemicals    buy  buy,bulltrendyrocky,2025-02-27 10:06:00
Aarti Industries,2  months  se  fasa  hua  hu  iss  share  me  hope  it  will  be  fruitful  in  future,garry40,2025-02-25 00:06:00
Aarti Industries,highke  under  value  stock  fair  value  above  550  hold  this  year  target  800,stockfact,2025-02-19 10:17:00
Aarti Industries,this  year  belongs  to  chemical  buy  target  530  in  two  month,stockfact,2025-02-18 13:21:00
Aarti Industries,the  worst  fraud  scam  stock,YMnew,2025-02-18 13:07:00
Aarti Industries,"Market  has  made  its  bottam  with  the  Triple  Bottam  Theory,  Now  its  year  of  specaility  Chemical  and  be  ready  to  see  500  by  This  month  expiry",Market@9,2025-02-16 22:20:00
Aarti Industries,the  share  is  ready  to  beach  the  400  but  keep  strict  stop  lose  of  390  which  is  also  52  weeks  low.    After  poor  net  profits  and  profits  booking  we  will  see  soon  below  400  and  if  breach  the  SL  of  390  than  can  start  to  add  in  the  10  parts  on  every  dip  of  rs  10  so  can  add  upto  Rs300  and  risk  reward  come  in  the  favour  of  my  smart  investors.  can  follow  for  more  call.s,therealthirdeye2015,2025-02-16 18:11:00
Aarti Industries,Pl  tell  me  what  is  the  target  of  Aarti  Industries  for  next  2  years,RAMSJ,2025-02-14 08:46:00
Aarti Industries,Risk  and  reward  is  extremely  in  favour  .  Its  funda  as  well  as  tech  call,Market@9,2025-02-10 22:13:00
Aarti Industries,"Buy  and  Accumulate  for  520,  560,  640,  and  then  700,  and  760  before    next  results
520  may  come  any  day.",Market@9,2025-02-10 22:12:00
Aarti Industries,good  value  company  facing  some  difficulty....  should  do  good  in  upcoming....  hold  after  budget,buddy_ry,2025-02-08 15:28:00
Aarti Industries,"sold  at  current  market  price,  looking  it  will  go  down..",pkrajput,2025-02-06 17:24:00
Aarti Industries,"Aarti  Ind  s  new  plant  trial  production  and  commercecial  production,when  start  any  time  period,please  share  info  about  trial  and  commercecial  production",walalipacham,2025-02-06 16:22:00
Aarti Industries,Accumulate  PCBL  and  Heubach  industries  also.  Special  chemical  shares  are  expected  to  doing  well  in  coming  days.Buy  in  dips.,sanj_1234,2025-02-06 10:20:00
Aarti Industries,What  is  Aarti  Industries  target  for  the  next  five  years,RAMSJ,2025-02-05 08:27:00
Aarti Industries,my  10  years  target  is  20000.  So  the  research  practically  guys.,yans,2025-02-05 01:25:00
Aarti Industries,Chemical  share  are  going  to  fire.  It  will  be  doubled  before  next  result,Market@9,2025-02-03 16:59:00
Aarti Industries,due  to  capex  and  increase  plant  capacity  profit  not  generated  I  think  up  hi  hoga  550  fast,stockfact,2025-02-03 10:52:00
Aarti Industries,Stock  seems  to  have  bottomed  out,Mrch,2025-02-03 09:48:00
Aarti Industries,shorters  ki  band  bajgayi  stoploss  trigger  hogaya  sab  shorters  ka,garry40,2025-02-03 09:27:00
Aarti Industries,"Aarti  Industries  Q3  Consolidated  YoY

Profit  tanks  62.9prcnt  to  Rs  46  crore  Vs  Rs  124  crore

Revenue  grows  6.2prcnt  to  Rs  1,840  crore  Vs  Rs  1,732  crore",kamal20,2025-02-03 08:54:00
Aarti Industries,Sell  aarti  Industries  target  420  stop  loss  470    for  tomorrow  as  result  are  bad,Karsan420,2025-02-03 00:04:00
Aarti Industries,"Buy  aarti  Industries  target  495  stop  loss  442  ,  as  mangement  commentary  is  positive  and  loss  is  factored  in  price  .",Karsan420,2025-02-02 23:54:00
Aarti Industries,"aarti  will  fly  results  are  not  as  bad  and  operators  commentary  was  good  regarding  new  projects  ,oversees  and  domestic  sales  detail.  sales  improved",km_mh,2025-02-02 21:05:00
Aarti Industries,"Have  after  tracking  this  company  last  2  years    and  somehow  strongly  feel  that  their  recent  business  underperformance  have  some  artificial  angle  .  The  whole  MMA    and  Gasoline  Naptha  spread  story  on  energy    side.    It  has  to  do  will  them  playing  their  stock  through  FNO  and  cash  ,  if  not  directly  then  through  their  brokers  .  Somehow  these  ups  and  down  of  profits  dnt  jutify  for  a  company    with  long  experience  of  chemical  markets  .  If  stock  recovers  back  in  few  days  than  that  this  theory  will  be  proved  .",MD_phoenix,2025-02-02 20:55:00
Aarti Industries,Be  extremely  cautious.  The  losses  are  huge.  It  will  get  beaten  badly.  Investors  are  shifting  to  better  companies.  FII  are  anyway  out,joehand,2025-02-02 18:15:00
Aarti Industries,"Avoid  this  junk...  Best  buys  are  BEL  ,TATA  Motors,  Sterling  Tools,  Castrol  and  Unicommerce  eSolution...Can  easily  double  by  this  Diwali",Ofcourse,2025-02-02 13:54:00
Aarti Industries,"Bad  results  are  getting  heavily  punished  in  this  market  .  The  only  question  for  Aarti  stock  on  Monday  is  whether  it  will  stop  on  10  percent  down  or  20  percent.  Consistently  second  quarterly  pathetic  result  .  When  all  chemical  companies  are  positing  better  numbers  ,  either  aarti  management  is  incompetent  or  worse  they  deliberately  posting  bad  number  to  buyback  the  share  at  lows  or  both  .  In  any  of  the  case  for  minority  investors  it  is  a  bad  sign.  Commentary  on  management  call  could  also  be  bearish  to  keep  the  stock  down  ....  it  will  take  few  weeks  for  stock  to  recover.",MD_phoenix,2025-02-02 10:48:00
Aarti Industries,tomorrow  upper  circuit  confirm,100yearsexp,2025-02-02 09:44:00
