Stock,Comment,Commented By,Timestamp
Deepak Nitrite,DEEPAKNTR    Click  the  link  to  open  your  account  now.   Unlike  others  Nuvama  Wealth  goes  the  extra  mile  with  expert  research  and  exceptional  demat  account  services.  Make  the  smarter  choice  open  your  account  now,dhjsjsk,2025-03-21 20:49:00
Deepak Nitrite,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 20:45:00
Deepak Nitrite,"NSE  announces  exclusion  of  5  stocks  from  FandO  segment  effective  June  series

Apollo  Tyres,  Deepak  Nitrite,  Escorts  Kubota,  MRF  and  Ramco  Cements  to  be  excluded  from  FandO

NSE  announces  exclusion  of  5  stocks  from  FandO  segment  effective  June  series

Apollo  Tyres,  Deepak  Nitrite,  Escorts  Kubota,  MRF  and  Ramco  Cements  to  be  excluded  from  FandO",kamal20,2025-03-21 20:44:00
Deepak Nitrite,"DNL  Starts  a  plant  to  manufacture  Benzo  Triftuoride.  Along  with  agrochem  and  pharma  sectors,  this  chemical  is  highest  used  in  the  process  of  manufacturing  of  solar  panels  as  a  cleaning  solvent.",RajatSEN,2025-03-21 14:46:00
Deepak Nitrite,maybe  maybe  mere  khyal  se  pakka  1930  jayega  aur  ye  forum  walo  k  message  par  bharosa  karoge  to  hamesha  paisa  dubaoge..  hahahaha,irbaz,2025-03-15 15:38:00
Deepak Nitrite,Gujarat  14000  crores  capex  by  2027  will  skyrocket  this  stock.......,rizulagg5,2025-03-14 10:26:00
Deepak Nitrite,"crude  oil  was  positive  yesterday  so  deepak  nitrite,  asian  paints  will  be  negative  today..  may  collapse  to  8-10  percent  today",sinham,2025-03-12 08:37:00
Deepak Nitrite,"deepakntr  tmrw  1900  less  growth  in  3rd  Qtr

less  Revenue
less  profit
less  Ebita  

chances  next  3  months  touch  1k",raju20089116,2025-03-11 19:00:00
Deepak Nitrite,"today  blood  bath  at  nifty  share  except  asian  paints,  deepak  nitrite  as  crude  oil  price  down,  this  share  will  come  up",sinham,2025-03-11 06:46:00
Deepak Nitrite,Will  it  move  upward  or  not...  as  I  bought  it  at  1980  level  and  it  again  going  down  side...  giving  losses...,niksa1,2025-03-10 17:43:00
Deepak Nitrite,on  what  basis  you  have  given  2150  target,dheeru1001,2025-03-08 16:28:00
Deepak Nitrite,On  Monday  it  will  reach  2150..  shorters  pls  take  care,Dhano90,2025-03-08 12:43:00
Deepak Nitrite,strong  fundamentals.  -  my  target  for  deepak  nitrite  is  rs  2500  for  the  long  term  with  a  stoploss  of  rs  na,DrA1985,2025-02-28 15:43:00
Deepak Nitrite,"profit  milega  re  bhai  log,  pateince  rakhne  ka.",DrA1985,2025-02-28 15:41:00
Deepak Nitrite,how  sure  now  ?  it  is  3  per  cent  down  today,lhh,2025-02-28 13:10:00
