Stock,Comment,Commented By,Sentiment_Score,Sentiment_Label,Timestamp
Aarti Industries,aarti  is  treding  five  year  ago  price  this  is  cheapest  stock  1100  ka  400  hai  is  bar  within  three  month  550  plus  in  one    year  800  hoga  mark  my  word  best  stock  collaborate  with  coromandel  great  news  hold  karo  double  hoga,stockfact,0.8519,Positive,2025-03-21 20:57:00
Aarti Industries,"Just do it brother, it is not the bus ????",Jawa1983,0.0,Neutral,2025-03-21 20:55:00
Aarti Industries,buy  buy  now  will  blast  tgt  414  intraday,_Mihir,0.0,Neutral,2025-03-21 20:54:00
Aarti Industries,buy  today  intra  tgt  414  buy  at  407  hold  for  intraday  tgt  414,_Mihir,0.0,Neutral,2025-03-21 20:54:00
Aarti Industries,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,0.8709,Positive,2025-03-21 20:54:00
Aarti Industries,now  china  dump  all  chemical  products  at  throw  away  prices  how  can  Indian  companies  survive,RamKhilawan,-0.3818,Negative,2025-03-20 10:46:00
Aarti Industries,will  test  patience  and  make  investors  cry  before  rewarding,Mrch,0.0772,Neutral,2025-03-13 14:30:00
Aarti Industries,"opportunity  to  add  on  dips,  long  awaiting  momentum  expected  next  month",Nepha9,0.4215,Positive,2025-03-13 11:03:00
Aarti Industries,"You are speaking double from a 6 Monthus while the stock is half.  Shri Dout You Hey Human, Lukes Like Bot",MD_phoenix,0.3612,Positive,2025-03-12 23:09:00
Aarti Industries,"What is the target of this, I have an option in the month",Stockoptionss,0.0,Neutral,2025-03-11 22:06:00
Aarti Industries,yeh  phatne  wala  hai  oversold  stock  hai  in  April  huge  upside,stockfact,0.3182,Positive,2025-03-11 13:58:00
Aarti Industries,"Sell  IT,  Pharma,  Auto,  Real  estate  and  buy  chemical  and  banking  stocks  ,  which  are  undervalued  and  will  be  part  of  coming  sector  rotation",Market@9,0.0,Neutral,2025-03-10 08:50:00
Aarti Industries,"Chemical  stocls  will  boom  this  year,  Aarti  might  be  doubled  in  2-3  few  months  only",Market@9,0.0,Neutral,2025-03-10 08:42:00
Aarti Industries,"coming  week  it  will  go  above  rs  430.
monday  it  will  trade  between  rs  400  and    rs  415.
weekly  trade  expected  between  rs  390  and  rs  430.
it  will  go  with  the  market.    market  will  flat  and  maximum  variation  may  be  200  points  in  sensex  on  monday.",mano1956iba,0.0,Neutral,2025-03-08 15:50:00
Aarti Industries,aarti  is  going  to  fall  .,GEC,0.0,Neutral,2025-03-07 12:42:00
Aarti Industries,aarti    collaborate  with  coromandel  for  speciality  chemicals  and  huge  upside  as  most  of  chemical  share  beaten  down  last  three  year  most  of  analyst  bullish  on  chemicals  this  year,stockfact,0.2415,Positive,2025-03-07 10:29:00
Aarti Industries,"Company  entering  into  Agreement  with  Clean  Max  Enviro  Energy  Solutions  Private  Limited  and  Clean  MaxIndus  Private  Limited,  a  SPV  formed  to  set  up  a  16.50  MW  Wind  -  Solar  hybrid  power  project  to  cater  the  Companys  power  requirement,  this  is  to  further  inform  that  Company  has  entered  into  Shareholders  Agreement  dated  March  5,  2025  for  infusing  capital  of  Rs.  16,70,80,000  in  Clean  Max  Indus  Private  Limited",kamal20,0.9118,Positive,2025-03-06 11:17:00
Aarti Industries,i  believe  aarti  is  good  company  and  mine  target  700  in  2025  who  believe  give  five  star,stockfact,0.4404,Positive,2025-03-05 15:30:00
Aarti Industries,"bhaiyaa  anil  singhvi  aur  sushil  kedia  ki  baatein  sun  ke  hi  log  barbaad  hue  hai  ...  he  has  many  such  calls  starting  from  aarti  to  vodphone,  stanley,  idfc  countless  .  Not  that  he  bad  anchor  or  person  but  dnt  market  aur  fundamentals  ke  aage  kisi  ki  advise  nahi  chalti  .",MD_phoenix,0.2323,Positive,2025-02-28 17:46:00
Aarti Industries,on  Zee  business  before  two  month  target  of  800  given  by  anil  singhvi  based  on  company  plan  as  market  is  down  so  this  stock  suffer  I  think  when  market  in  good  mood  target  550  possible,stockfact,-0.2177,Negative,2025-02-28 14:55:00
Aarti Industries,lagta  hai  capex  ki  naam  pe  promoter  diverting  funds  to  himself  .  6000  cr  ka  capex  ka  paisa  fd  main  daal  deta  3  years  main  1500  crs  ka  profit  ho  jata  .  definitely  diverting  funds,MD_phoenix,0.6808,Positive,2025-02-28 10:41:00
Aarti Industries,Aarti  is  at  the  tail  end  of  investment  cycle.  Should  be  free  cash  flow  positive  next  year.  Performance  will  improve  with  increase  in  capacity  and  recovery  of  margins,Mrch,0.9022,Positive,2025-02-27 15:10:00
