Stock,Comment,Commented By,Timestamp,Translated_Text,Sentiment_Score,Sentiment_Label
Deepak Nitrite,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 12:11:00,"The Fixed Income: Changing The Way India Invests Built with Love in India, We Empower Over 1,50,000 Investors to Grow With Stability.  Whather it's corporate bonds, government bonds, fixed deposits, or more, our platform helps you build a solid financial fourth, stable returns.  Explore now: https: //shorturl.at/kefwr",0.8709,Positive
Deepak Nitrite,"NSE  announces  exclusion  of  5  stocks  from  FandO  segment  effective  June  series

Apollo  Tyres,  Deepak  Nitrite,  Escorts  Kubota,  MRF  and  Ramco  Cements  to  be  excluded  from  FandO

NSE  announces  exclusion  of  5  stocks  from  FandO  segment  effective  June  series

Apollo  Tyres,  Deepak  Nitrite,  Escorts  Kubota,  MRF  and  Ramco  Cements  to  be  excluded  from  FandO",kamal20,2025-03-21 12:10:00,"NSE Announces Exclusion of 5 Stocks from Fando Segment Effective June Series

Apollo Tys, Deepak Nitrite, Escorts Kubota, MRF and Ramco Cements to be excluded from fando

NSE Announces Exclusion of 5 Stocks from Fando Segment Effective June Series

Apollo Tys, Deepak Nitrite, Escorts Kubota, MRF and Ramco Cements to be excluded from fando",-0.25,Negative
Deepak Nitrite,"Deepak  showing  us  the  quicker  way  to  higher  profits,  buy  Delta  Corp  and  TCI  Ex  now.",Smart Soul,2025-03-21 11:52:00,"Deepak showing that Kister Way to Higher Profits, Buy Delta Corp and Takrax Now.",0.4404,Positive
Deepak Nitrite,maybe  maybe  mere  khyal  se  pakka  1930  jayega  aur  ye  forum  walo  k  message  par  bharosa  karoge  to  hamesha  paisa  dubaoge..  hahahaha,irbaz,2025-03-15 15:38:00,"Maybe, I think I will be sure to go to 1930 and if you rely on the message of the forum people, you will always sink the money .. Hahahaha",0.0,Neutral
Deepak Nitrite,Gujarat  14000  crores  capex  by  2027  will  skyrocket  this  stock.......,rizulagg5,2025-03-14 10:26:00,Gujarat 14000 Crrocx B2027 Will Schirokta This Stock .......,0.0,Neutral
Deepak Nitrite,"deepakntr  tmrw  1900  less  growth  in  3rd  Qtr

less  Revenue
less  profit
less  Ebita  

chances  next  3  months  touch  1k",raju20089116,2025-03-11 19:00:00,"Deepakantra Tamarva 1900 Less growth in 3

Less Revenue
Less profit
Lesses  

Chances Next 3 Monthus Touch 1",0.6336,Positive
Deepak Nitrite,"today  blood  bath  at  nifty  share  except  asian  paints,  deepak  nitrite  as  crude  oil  price  down,  this  share  will  come  up",sinham,2025-03-11 06:46:00,"Today Blood Bath, Nifty share accepts Asian Paints, Deepak Nitrous Crude Oil Price Down, This share will",0.34,Positive
Deepak Nitrite,I  bought  this  at  1989  and  it  is  coming  down  since  then...  what  bad   there  any  hope  of  coming  to  profit,market_tips,2025-03-10 18:49:00,Shri Baht Theht 1989 and IT This King Down scenes were ... What Bad There Hope of Coming to Profit,0.3182,Positive
Deepak Nitrite,on  what  basis  you  have  given  2150  target,dheeru1001,2025-03-08 16:28:00,What Basis You Haave Given 2150 Target,0.0,Neutral
Deepak Nitrite,On  Monday  it  will  reach  2150..  shorters  pls  take  care,Dhano90,2025-03-08 12:43:00,On Mande IT Will Reach 2150 .. Shorters Plus Tech Care,0.5574,Positive
Deepak Nitrite,dont  repeat  your  message,lhh,2025-03-04 23:22:00,Don't repeat your message,0.0,Neutral
Deepak Nitrite,strong  fundamentals.  -  my  target  for  deepak  nitrite  is  rs  2500  for  the  long  term  with  a  stoploss  of  rs  na,DrA1985,2025-02-28 15:43:00,Strong Fundamentals.  - My Target for Deepak Nitrarat is juice of 2500 for the long term with a stoploss of juice,0.5106,Positive
Deepak Nitrite,how  sure  now  ?  it  is  3  per  cent  down  today,lhh,2025-02-28 13:10:00,How Sure Now?  It this 3 foot cent down today,0.3182,Positive
