Stock,Comment,Commented By,Timestamp,Translated_Text,Sentiment_Score,Sentiment_Label
SRF,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 12:23:00,"The Fixed Income: Changing The Way India Invests Built with Love in India, We Empower Over 1,50,000 Investors to Grow With Stability.  Whather it's corporate bonds, government bonds, fixed deposits, or more, our platform helps you build a solid financial fourth, stable returns.  Explore now: https: //shorturl.at/kefwr",0.8709,Positive
SRF,Next  two  quarters  are  likely  to  be  strong  in  view  of  refrigeent  gas  demand.  Results  wise  positive  but  too  expensive.,Cool Bull,2025-03-20 11:44:00,Next Tavo Quarters Are Licaly to Bay Strong in View of Refrigent Gas Demand.  Results it is positive but you expansive.,0.6428,Positive
SRF,srf  will  rally  towards  3200  by  this  friday,srini_varun,2025-03-19 11:33:00,Surf Will Rally Turds 3200 Bay This Friday,0.0,Neutral
SRF,good  to  buy  ...  keep  accumulating  in  every  dip.  strong  stock.  will  move  above  3200  in  short  term,JP_Rocket,2025-03-18 08:45:00,Good to Buy ... Keep Axupping in Evri Dip.  Strong stock.  Will move abowe 3200 in short term,0.7351,Positive
SRF,huge  buying  is  done  by  someone  at  these  levels  in  cash  market  thats  why  its  not  going  down.......,ChachaChaudhary,2025-03-17 11:38:00,Huje Bing is two samavanat the levels in Cash Market Thoughts Who It's Not Going Down .......,0.3182,Positive
SRF,there  is  no  point  in  shorting  future  price  is  1  percent  below  cash  market  ..,ChachaChaudhary,2025-03-17 11:36:00,Tere this no point in shorting future price is 1 percent bills cushion market ..,-0.296,Negative
SRF,Ready  to  break  3000  levels.  3200  is  the  short  term  target.,crisil_score,2025-03-16 19:29:00,Ready to break 3000 levels.  3200 this short term target.,0.3612,Positive
SRF,"srf  ltd  will  enter  into  the  cast  polypropylene    film  business  by  acquiring  the  entire  plant  and  machinery  from  kanpur  plastipack  ltd    for ₹49.25  crore,  the  company  said  in  a  stock  exchange  filing  on  tuesday.",dkrush92,2025-03-12 11:30:00,"Srf ltd will enter into the cost polypropylene film business by acquiring the entreenth and machinery from kanpur plastipack ltd for ₹ 49.25 Crore, The Company Said in a Stock Exction Filing ON Tuesday.",0.0,Neutral
SRF,"If  you  are  buying  this  ,  buy  only  after  the  next  results..  surely  the  result  will  be  weak  due  to  rural  weakness  in  india.",SmallInv0099,2025-03-12 09:38:00,"IFFURARE BINGE TES, Buy only after the Next Results .. Sureli the Result will be wi aa to Rural Weekness in India.",-0.4215,Negative
SRF,SRF  is  going  to  blast  tomorrow.  Nifty  has  introduced  new  index  for  chemical  sector  Nifty  Chemicals  and  SRF  has  second  highest  weightage  in  that  with  13  percent.  This  will  open  with  gap  up  of  2-5  percent.  Buy  in  fold  with  high  returns.,niksa1,2025-03-11 21:13:00,SRF is going to Blast Tomorrow.  Nifty has introduced new index for chemical sector nifty chemicals and srf has second higher highest weightage in that with 13 percent.  This will open with gap up of 2-5 percent.  Buy in fold with high returns.,0.6597,Positive
SRF,Sell  SRF  March  Fut  Cmp  2898  SL  2936  Tgt  2818  and  2718,SRINIVASA HYD,2025-03-11 09:37:00,Selll Surf March Foot Companes 2936 Tag 2818 & 2718,0.0,Neutral
SRF,"The  February  business  update  is  very  poor  compared  to  naveen  florin.  Operator  driven  stock.  People  buy  it  because  the  chart  looks  good  otherwise  nothing  good.  Just  like  when  the  divis  lab  was  6200,  all  the  brokerage  house  has  given  a  buy  call  with  a  target  of  6800  but  now  its  trading  at  5400.  one  day  you  will  see  this  stock  trading  at  2000",drramesh29,2025-03-10 17:20:00,"The February Business Update is very poor compared to naveen florin.  Operator Driven Stock.  People buy it trust the chart looks good otherwise nothing good.  Just like when the divis lab was 6200, all the brokerage house has given a boy call with a target of 6800 but nows trading at 5400. One day you will see you will see this stock trading at 2000",0.0383,Positive
