Stock,Comment,Commented By,Timestamp,Translated_Text,Sentiment_Score,Sentiment_Label
Tata Chemicals,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 12:15:00,"The Fixed Income: Changing The Way India Invests Built with Love in India, We Empower Over 1,50,000 Investors to Grow With Stability.  Whather it's corporate bonds, government bonds, fixed deposits, or more, our platform helps you build a solid financial fourth, stable returns.  Explore now: https: //shorturl.at/kefwr",0.8709,Positive
Tata Chemicals,tomorrow  upper  circuit,saikrishnagoud,2025-03-21 12:04:00,Tumaro Upper Circuit,0.0,Neutral
Tata Chemicals,TCL  is  slated  to  enter  into  Benzene  based  chemicals.  This  project  was  started  in  2023  and  will  start  production  soon.  It  will  the  cheapest  benzene  chemicals  producer  due  to  available  backward  integration.  Wait  for  Q1  Fy26  results.,harriharri,2025-03-21 12:00:00,TCL is stated to enter into benzene based chemicals.  This project was started in 2023 and will start production soon.  It will the cheapest benzene chemicals producer due to available backward integration.  Wait for Q1 FY26 Results.,0.0,Neutral
Tata Chemicals,entire  market  went  up.  but  this  is   investors  in  this  stock  like   dosre  ka  mooh  dekho...pathetic.,lossess,2025-03-21 11:38:00,Antire Market Vent Sub.  But this investors in this stock written and see the other's face ... Pedestic.,0.5023,Positive
Tata Chemicals,"short  covering  move,should  take  it  higher  even  tomorrow.",udeykhajuria1959,2025-03-21 10:34:00,"Short Covering Move, Shud Tech it Higher Eve.",0.0,Neutral
Tata Chemicals,IPO  or  no  IPO  it  is  a  good  buy  at  this  level.,Cool Bull,2025-03-21 07:31:00,IPO and No Poopi This is the good Buyat this level.,0.1779,Positive
Tata Chemicals,"TATAs  Will  float  IPO,  wait  a  few  days",shyamalb,2025-03-21 01:00:00,"Test will float IPO, weight a fu day",0.0,Neutral
Tata Chemicals,again  tomorrow  Tata  chemicals  will  be  in  fno  ban  tomorrow...,bapu007,2025-03-20 22:49:00,Again Tukaro Tata Chemicals Will Bay in Fan Ban Tumaro ...,-0.5574,Negative
Tata Chemicals,March  month  Target  920  -  900,yuvatamil,2025-03-20 19:32:00,March Month Target 920 - 900,0.0,Neutral
Tata Chemicals,Only  scamer  stock  high  level  par  investors  ko  buy  karne  par  majbur  karke  fasa  diya.....  ab  5  saal  lag  jayenge  ise  new  52week  high  par  aate  aate...  Abhi  bhi  vaqt  hai  investaro  yaha  se  nikalo  aur  quality  stock  buy  karo  kam  se  kam  aapki  capital  to  secure  rahegi.....,dinu1234,2025-03-20 18:15:00,Only scamer stock high level par investors ko buy karne par majbur karke fasa diya ..... ab 5 saal lag jayenge ise new 52week high par aate aate ... Abhi bhi vaqt hai vaqt hai vaqt hai vaqalo aur aur Quality Stock Buy Karo Kam Se Kam Aapki Capital to Secure Rahegi .....,0.0,Neutral
Tata Chemicals,i  feel  this  would  be  multibagger,VB9,2025-03-20 17:21:00,Shri Feel This Wauld Bay Multibagger,0.0,Neutral
Tata Chemicals,the  tata  chemicals  stock  fell  7.93  percent  with  strong  volumes  on  march  20.  about  93  lakh  shares  changed  hands  compared  to  the  monthly  average  of  57  lakh.,kamal20,2025-03-20 17:16:00,The Tata Chemicals Stock Fell 7.93 Percent With Strong Volumes on March 20. About 93 Lakh Shares Changed Hands Compared to the Monthly Average of 57 Lakh.,0.6705,Positive
Tata Chemicals,this  stock  will  touch  1050/55  tomorrow  easily  ban  honeke  bavjood  ye  level  touch  karega  sure.,jagdish542,2025-03-20 16:02:00,This level will touch the stock will touch 1050/55 Tumaro will touch Surre.,0.0258,Positive
Tata Chemicals,again  in  f&o  ban  from  tomorrow  !  operators  will  not  allow  traders  without  funds/  stocks  to  easily  rollover  positions.  complete  manipulation  the  whole  month.,shivagrwal,2025-03-20 15:57:00,Again in F & O Ban from Tomorrow!  Operators will not allow traders with funds/ stocks to easily rotover positions.  Complete Manipulation The Whole Month.,-0.6551,Negative
Tata Chemicals,friends  watch  level  1040  if  it  crashes  then  it  will  touch  980-990,sai_love,2025-03-20 14:40:00,Friends Watch Level 1040 If It Crash was IT will touch 980-990,0.4767,Positive
Tata Chemicals,"buy  on  rumor  and  sell  on  news.  soda  ash  price  slashed  now,  the  profit  will  be  less  than  the  last  quatres.",Sri008,2025-03-20 14:15:00,"Buyon Rumor & Sellon News.  Soda ash price slashed now, the profits will bay less than the last quarters.",0.25,Positive
Tata Chemicals,stock  appears  oversold....delivery  on  nse  is  only  28  percent.  stock  may  recover,Mrch,2025-03-20 14:14:00,"Stock appr's oversold .... delivery, Nas only 28 %.  Stock may recover",0.0,Neutral
Tata Chemicals,invester  must  realize  its  market  cap  is  only  26492  crore.  cash  reserve  is  21148  crore.  plant  cwp  put  togyher  is  35907  crore.  price  to  book  value  is  only  1.28  no  chemical  stock  has  value  price  to  book  value  -3  and  stack  in  tata  sons  is  addional  its  no  brain  its  true  value  is  beyond  3k.  its  like  irfc  getting  at  rs  20.,VB9,2025-03-20 14:07:00,Invester must Realize its market cap is only 26492 Crore.  Cash Reserve is 21148 Crore.  Plant Cwp Put T Togyher is 35907 Crore.  Price to book value is only 1.28 No Chemical Stock has Value Price to Book Value -3 and Stack in Tata Sons is Addional Its No Brain Its True Value is beyond 3k.  Its like IRFC Getting at Rs 20.,0.8591,Positive
Tata Chemicals,available  at  very  cheap  rate  today.  it  will  definitely  will  back  in  1100  series  by  tomorrow,Sajals,2025-03-20 12:13:00,Appendable at very chip rate tode.  IT Will Definnatel Will Back in 1100 Series Bay Tumar,0.4019,Positive
Tata Chemicals,Today  LC  pakka  sell  Karo,krishmo,2025-03-20 11:37:00,Do the cell,0.0,Neutral
Tata Chemicals,tata  needs  more  money  for  debt   chemical  is  down  duento  crude  oil  price  hike,Rajiv271,2025-03-20 10:51:00,Tata Needs More Money for Debt Chemical This Down Dino Crude Oil Price Hike,-0.7553,Negative
Tata Chemicals,why  so  much  crash  in  tata  chemicals  today?,rajubh,2025-03-20 10:50:00,Why so much crash in Tata Chemicals Today?,-0.4549,Negative
Tata Chemicals,Can  this  company  be  bought  at  the  current  price?  Or  can  I  sell  it?  Experienced  ones  can  inform.,ore,2025-03-20 10:34:00,"Can this company be bouted, the current price?  And Canwers Cells?  Experienced Oman Cain Informs.",0.0,Neutral
Tata Chemicals,Today  20%  down  hoga  Aisa  lag  raha  hai,Manojk1969,2025-03-20 10:26:00,Today looks like 20% down,-0.34,Negative
Tata Chemicals,Ideal  level  is  400  to  500  range  only,Manojk1969,2025-03-20 10:12:00,Ideal level is 400 to 500 range only,0.5267,Positive
Tata Chemicals,top  lvl  ki  dhulai  ho  rahi  h,KRR10,2025-03-20 10:10:00,Top live was washing,0.2023,Positive
Tata Chemicals,what  is  ideal  level  to  average,nbhas,2025-03-20 10:00:00,What this ideal level is average,0.5267,Positive
Tata Chemicals,Fake  news  floated  to  trap  innocent  traders  &  Investors.  wait  for  lower  levels  to  average.,inaraj30a,2025-03-20 09:30:00,Fake news floated to trap innocent traders & investors.  Weight for Lower Levels then Average.,-0.6369,Negative
Tata Chemicals,IPO  or  no  IPO  Tatachemicals  at  this  price  is  a  value  buy.,Cool Bull,2025-03-20 09:28:00,IPO and No Poo Tattakemicals,0.0516,Positive
Tata Chemicals,"Tata  son  selling  TCS  shares  worth  ten  thousand  crores,probably  to  repay  all  debts  to  escape  from  IPO",Elcee180,2025-03-19 06:10:00,"Tata on Selling Tukes Shares Worth Ten Thouzand Crces, Probbles to Rapay All Debts to Escape from IPO",0.5859,Positive
Tata Chemicals,Tata  chemicals  has  won  in  one  tax  case  and  will  get  refund  of  Rs.59  crores.tomirriw  stock  could  touch  1180.,shenoybr73,2025-03-18 19:00:00,Tata Chemicals are the Tax Case and Will Gate Refund of Ras. 59 Crers.Tomiriv Stock Kud Touch 1180.,0.5719,Positive
Tata Chemicals,it  will  not  go  up  ad  of  now.  all  traders  spread  fake  news  of  tata  sons  listing  and  went  away  by  selling.  all  innocent  small  investors  get  trapped.  its  tata  group  share  and  few  of  tata  share  over  valued  ans  some  of  them  never  make  money  for  investors.  stay  away  from  Tata.,lossess,2025-03-18 10:48:00,It will not go up ad of now.  All traders spread fake news of tata sons listing and went away by seling.  All Innocent Small Investors Get Trapped.  Its tata group share and few of tata share over valued answer of them Never make money for investors.  Stay Away from Tata.,0.296,Positive
Tata Chemicals,"According  to  people  in  the  know,  Tata  Sons  has  explored  a  potential  listing  twice,  first  in  2007  during  Ratan  Tatas  tenure  as  chairman  and  again  in  2016  under  Cyrus  Mistrys  leadership.",kamal20,2025-03-15 09:32:00,"According to people in the knowledge, tata sons have explred a potential listing twice, first in 2007 during ratan tatas tenure as Chairman and Again in 2016 Under Cyrus Mostrys Leadership.",0.0,Neutral
Tata Chemicals,"RBIs  directive,  issued  in  September  2023,  requires  Tata  Sons,  classified  as  an  upper-layer  non-banking  financial  company,  to  list  its  shares  within  three  years.  Tata  Sons  faces  a  deadline  of  September  2025  to  go  public.",kamal20,2025-03-15 09:31:00,"RBIS Directive, Issured in September 2023, Requires Tata Sons, Classified as an upper-layer non-banking financial company, to list its shares with shares with  Tata Sons faces a deadline of September 2025 to go public.",0.296,Positive
Tata Chemicals,Tata  Sons  faces  a  delicate  balancing  act  between  pragmatism  and  upholding  its  legacy,kamal20,2025-03-15 09:31:00,Tata Sons Fessions Delicate Balancing Act Bitveen Pramtism and Upholding Its,0.0516,Positive
Tata Chemicals,tata  chemicals  near  launch  in  battery  chemicals  .  huge  demand  in  this  business.  New  target  in  tata  chemicals  Rs.1500  in  one  month,GrtOpinion2018,2025-03-14 11:58:00,Tata Chemicals Near Launch In Battery Chemicals.  Huje demand in business.  New target in Tata Chemicals Ras. 1500,0.2023,Positive
